Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
A0A0C4DH25	IGKV3D-20	-4.63916060206727	3.9329293630257e-09	No	No
A0A0C4DH29	IGHV1-3	-5.01032317907669	5.5877787558162395e-11	No	No
A0A0C4DH35	IGHV3-35	-9.18114913632372	2.1805698145429097e-11	No	No
A0A0C4DH39	IGHV1-58	-6.28386298752559	4.13464470464836e-07	No	No
A0A0C4DH67	IGKV1-8	-6.13966049756182	1.23733760494328e-08	No	No
A0A0G2JRQ6	gene	-4.73947226455848	1.1680613484626398e-11	No	No
A0A0G2JS06	IGLV5-39	-7.83742672754578	2.24781335095772e-06	No	No
A0A0J9YW62	gene	-8.63984509067586	1.19120695363641e-17	No	No
A0A0J9YX35	IGHV3-64D	-4.64793280114483	3.6838284070550904e-09	No	No
A0A0J9YXX1	IGHV5-10-1	-7.06523871428507	1.51682679782771e-06	No	No
A0A0J9YY99	gene	-7.70689773377896	6.93610392294381e-07	No	No
A0A1W2PRN1	gene	-5.50671417494941	1.90153358301158e-05	No	No
O00142	TK2	-7.64306526892407	5.68383948382713e-06	No	No
O00391	QSOX1	-6.14726297182028	1.97953276429574e-06	No	No
O14960	LECT2	-8.14703352324742	2.69610812557019e-17	No	No
O43286	B4GALT5	-8.95972891009297	8.53750596718124e-10	No	No
