Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
Q53GG5	PDLIM3	-1.81035978149053	8.36798904144518e-06	No	No
Q53TN4	CYBRD1	-1.0495549064781	7.467370065043569e-11	No	No
Q58DX5	NAALADL2	-1.97260094271702	1.6265426007133001e-24	No	No
Q5JSP0	FGD3	-1.57347320880779	1.00409165168778e-08	No	No
Q5JTD7	LRRC73	-1.8523359036303	1.9313870463262e-11	No	No
Q5JTW2	CEP78	-1.40654260945443	2.8740339895153997e-19	No	No
Q5JTZ5	C9orf152	-2.0165522742802	2.45657624743756e-21	No	No
Q5JVS0	HABP4	-1.4062804164095	2.15829005887654e-21	No	No
Q5R3I4	TTC38	-1.13812948707589	3.75257074008437e-15	No	No
Q5SRE7	PHYHD1	-2.13862777874667	4.0085514658176205e-09	No	No
Q5T011	SZT2	-1.25396444959358	9.36962152834881e-28	No	No
Q5T2W1	PDZK1	-1.83220127358111	2.0321772212909197e-30	No	No
Q5T481	RBM20	-2.49527807796358	1.5963825826606799e-18	No	No
Q5T4B2	CERCAM	-1.22158685890359	9.49701935621959e-22	No	No
Q5T6L9	ERMARD	-1.32348148599762	0.0033504505311148	No	No
Q5T750	XP32	-2.5962061068522	1.53204615257805e-05	No	No
Q5T7W7	TSTD2	-1.07304786714537	3.3257279388198e-05	No	No
Q5TI25	NBPF14	-3.56710294417302	2.7385122974865e-28	No	No
Q5U649	C12orf60	-1.04277604657427	0.0008039447973333	No	No
Q5XKK7	FAM219B	-1.44538146462956	3.8213776301415e-17	No	No
Q60I27	ALS2CL	-1.07659992087644	6.34104667501376e-10	No	No
Q68CL5	TPGS2	-1.51815457556782	5.55953331277535e-05	No	No
Q68CZ2	TNS3	-1.10679057905221	3.97657345511459e-12	No	No
Q6AI08	HEATR6	-1.00411753951115	3.05274898100756e-29	No	No
Q6AZY7	SCARA3	-1.92992862463701	3.04766489254821e-06	No	No
Q6NT16	SLC18B1	-1.04443884376785	3.0869228482962404e-09	No	No
Q6NTF9	RHBDD2	-1.30074526836694	4.0482586596400105e-21	No	No
Q6NV74	CRACDL	-1.28477215563032	1.51351028990588e-28	No	No
Q6NZI2	CAVIN1	-1.70560776618208	6.61310452076097e-08	No	No
Q6P179	ERAP2	-1.27065950629965	5.1133199650831503e-17	No	No
Q6P4A8	PLBD1	-1.55139121577984	1.2921885344010202e-15	No	No
Q6PHW0	IYD	-1.79268350321247	2.21198772914022e-06	No	No
Q6UWE0	LRSAM1	-1.10169964368361	2.51136655986648e-34	No	No
Q6UX71	PLXDC2	-2.76620040764235	1.28976390865841e-30	No	No
Q6ZNL6	FGD5	-1.99188557382054	8.12560571086606e-06	No	No
Q6ZS11	RINL	-1.05123282840659	0.0079570886299937	No	No
