Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q8NCC5	SLC37A3	-1.17519335234473	0.0002178502918377	No	No
Q8NDN9	RCBTB1	-1.23020370500589	1.59942789211092e-06	No	No
Q8NEP3	DNAAF1	-1.40384209669376	2.87352279253029e-05	No	No
Q8NG66	NEK11	-1.30117074210428	4.05378419929085e-05	No	No
Q8NHX9	TPCN2	-1.09813725802087	4.37857082085378e-13	No	No
Q8TAD7	OCC1	-1.05943310506089	6.58090808523413e-08	No	No
Q8TAM2	TTC8	-1.06723317438343	2.04454451965032e-11	No	No
Q8TD06	AGR3	-1.66943535527635	1.30936918757993e-33	No	No
Q8TD19	NEK9	-1.19755131024155	9.71429306118582e-48	No	No
Q8TDZ2	MICAL1	-1.33487292878531	1.45144202295556e-16	No	No
Q8TER5	ARHGEF40	-1.20066649509909	2.1189470583784502e-23	No	No
Q8WVC6	DCAKD	-1.30927914126869	3.70526679626427e-34	No	No
Q8WVV5	BTN2A2	-1.3075033559013	1.6878162455884302e-09	No	No
Q8WW22	DNAJA4	-1.21676807726655	4.54698384755929e-38	No	No
Q8WW38	ZFPM2	-1.49518220831696	7.79193436828891e-07	No	No
Q8WW43	APH1B	-1.37329509417197	4.9370231003661e-15	No	No
Q8WWY8	LIPH	-2.11853330967819	1.11539288468626e-26	No	No
Q8WWZ3	EDARADD	-1.45451004514351	8.53513925437649e-07	No	No
Q92478	CLEC2B	-1.36092273208622	5.23294080933624e-08	No	No
Q92730	RND1	-1.22134651427511	4.51351636830877e-06	No	No
Q92817	EVPL	-1.14584502935676	3.11644878616321e-39	No	No
Q95460	MR1	-1.11188932216826	3.63526787607654e-05	No	No
Q96A19	CCDC102A	-1.20192912123055	1.05819892909817e-14	No	No
Q96A25	TMEM106A	-1.02044148511527	0.0035263240570176	No	No
Q96AP7	ESAM	-1.19258028851543	0.0032088156123918	No	No
Q96AY3	FKBP10	-2.38247524821564	2.7509462427338797e-62	No	No
Q96B21	TMEM45B	-1.38244984333413	8.17917953598912e-12	No	No
Q96BI1	SLC22A18	-1.10666279894487	1.2960447148605701e-20	No	No
Q96C74	ROPN1L	-1.80165140787449	1.06516953668181e-08	No	No
Q96CM8	ACSF2	-1.13863261760789	2.62285266426775e-25	No	No
Q96DA0	ZG16B	-1.11209120978077	0.0012435537226146	No	No
Q96DA2	RAB39B	-1.17314341764311	0.0018404324342603	No	No
Q96DR4	STARD4	-1.9420826919146	4.19998617374298e-08	No	No
Q96DX5	ASB9	-2.0923998251916	1.7497367719054e-06	No	No
Q96E40	SPACA9	-1.44849790749118	1.17659927077171e-07	No	No
Q96EN8	MOCOS	-1.2799539319129	2.9665823777711005e-10	No	No
Q96EQ0	SGTB	-1.14147537903627	3.37069648186086e-18	No	No
Q96FL8	SLC47A1	-1.56937615203959	6.95290348878504e-10	No	No
Q96FN4	CPNE2	-1.38219447589233	4.87791048290021e-13	No	No
Q96HH9	GRAMD2B	-1.1230376114412	2.77480056634996e-28	No	No
Q96J66	ABCC11	-1.06069300089335	3.22712335352282e-06	No	No
