Protein_Group	Genes	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_logFC	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_pval	Removed?	Contaminant?
Q96KB5	PBK	-1.07804051239842	0.0005496662720898	No	No
Q96N20	ZNF75A	-1.52257240409555	0.0008376398887289	No	No
Q96PX6	CCDC85A	-1.26213266612692	0.0048182673051298	No	No
Q96S99	PLEKHF1	-1.29326448719569	1.09864545044308e-06	No	No
Q9BQI6	SLF1	-1.25275465934962	0.0012382468578355	No	No
Q9BWK5	CYREN	-1.39256728504207	1.16686817019846e-07	No	No
Q9BWT6	MND1	-1.23806377821743	0.0001307065427398	No	No
Q9H079	KATNBL1	-1.11571672600313	4.51789559943344e-05	No	No
Q9H093	NUAK2	-1.08634655541372	0.0001143838921178	No	No
Q9H211	CDT1	-1.21161765220521	3.07011165770533e-13	No	No
Q9H228	S1PR5	-1.20328741781232	6.10613919878399e-05	No	No
Q9H6L5	RETREG1	-1.24171668584954	0.0002105197948891	No	No
Q9H967	WDR76	-1.32624755974988	2.0381942809142e-05	No	No
Q9HB96	FANCE	-1.31581267399927	1.37225856237063e-05	No	No
Q9NPA3	MID1IP1	-1.02642379735259	5.273873263648e-07	No	No
Q9NPD8	UBE2T	-1.21159960055	6.25245032246016e-05	No	No
Q9NRZ9	HELLS	-1.13304311209066	4.09621322255822e-05	No	No
Q9NXG0	CNTLN	-1.47871468977713	1.5168985995478901e-10	No	No
Q9P2W1	PSMC3IP	-1.22942140160543	2.34571601871424e-05	No	No
Q9UII5	ZNF107	-1.43205541238728	7.66821544655709e-05	No	No
Q9UKT4	FBXO5	-1.2394149927161	5.51393589408171e-07	No	No
Q9UPY5	SLC7A11	-1.58128623679336	0.0005035919577205	No	No
Q9UQ84	EXO1	-1.08772221781084	2.47989247633318e-05	No	No
Q9Y5T4	DNAJC15	-1.07674924022874	2.63564216816001e-08	No	No
