,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
117,GO:0003208,cardiac ventricle morphogenesis,GO:0003208,0.5414422800154794,1.2987064358370632,0.7269132591369514,9.67%,GATA3;FGFR2;PROX1;MEF2C;TGFBR2,GO_Biological_Process_2023__Cardiac Ventricle Morphogenesis (GO:0003208)
118,GO:0045740,positive regulation of DNA replication,GO:0045740,-0.775668643653777,-1.737632171242804,0.730323890219248,4.12%,EGF;GLI2;DNA2,GO_Biological_Process_2023__Positive Regulation Of DNA Replication (GO:0045740)
119,GO:0042274,ribosomal small subunit biogenesis,GO:0042274,0.4210069233319898,1.2939004056066248,0.7304812414753994,42.80%,RIOK1;RPS27L;SRFBP1;PWP2;TSR3;UTP3;RPS24;RRP36;RPS16;KRR1;RPS13;RPS11;RPS5;DIMT1;PNO1;FCF1;RPS25;RPS23;ERAL1;RPS19;SURF6;RRP9;NOP14;SPPL2B;IGF2BP3;RPS14;NGDN;RPS3A;RPS15A;WDR75;NOM1;UTP6;RRP7A;MRPS12;RPS4X;RPS17;DDX52;RPS15;EMG1;RPS9;DHX37;RIOK2;UTP15;RPS27;LTV1;RPS19BP1;RPS8;MPHOSPH10;BMS1;NOL7;WDR43;EXOSC10;RPS7;UTP20;UTP11;DNTTIP2;NOL11;UTP4;NOB1;RPSA,GO_Biological_Process_2023__Ribosomal Small Subunit Biogenesis (GO:0042274)
120,GO:0048863,stem cell differentiation,GO:0048863,0.5141422368554377,1.2889784271745892,0.7322636908777783,7.31%,FGFR2;JARID2;KIT;HMGA2;MEF2C,GO_Biological_Process_2023__Stem Cell Differentiation (GO:0048863)
121,GO:0043412,macromolecule modification,GO:0043412,0.438395368837483,1.288994157497102,0.734701285490895,7.68%,CHRM3;TGM1;SLC35A1;PLAT;TGM3;LOX,GO_Biological_Process_2023__Macromolecule Modification (GO:0043412)
122,GO:0001895,retina homeostasis,GO:0001895,0.5423335618382608,1.275807680790196,0.7425839035300311,7.72%,AZGP1;LTF;IGHA1;IGKC;F3;LYZ;CDH3;PIP,GO_Biological_Process_2023__Retina Homeostasis (GO:0001895)
123,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902236,0.605392399957486,1.2796230674158582,0.7440847491207986,15.95%,HERPUD1;SELENOS;CREB3;TMBIM6;XBP1;PTPN1,GO_Biological_Process_2023__Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236)
124,GO:2000144,positive regulation of DNA-templated transcription initiation,GO:2000144,0.4480799630643632,1.2818875189496706,0.7462330385836581,31.47%,MITF;FOSL1;MED7;TAF3;TAF11;JUN;MED13;PAXIP1;SETX;MED14;MED19;MED8;MED6;MED12;MED30;MED11;TBP;MED16;MED23;SRF;TAF8;MED17;MED21;MED4,GO_Biological_Process_2023__Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144)
125,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,GO:1903556,0.5147477797159312,1.247991138244182,0.7477236940899528,9.03%,DICER1;TNFAIP3;TLR4;LTF;LGALS9;SELENOS;ARG2;CD274,GO_Biological_Process_2023__Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903556)
126,GO:0006607,NLS-bearing protein import into nucleus,GO:0006607,0.5613812796243568,1.2399613423609128,0.7485325334090651,4.89%,KPNA5;RGPD3,GO_Biological_Process_2023__NLS-bearing Protein Import Into Nucleus (GO:0006607)
127,GO:0018206,peptidyl-methionine modification,GO:0018206,0.5789512402861603,1.2468766459917555,0.74919026750888,13.56%,APOA2;NAA35;NAA30,GO_Biological_Process_2023__Peptidyl-Methionine Modification (GO:0018206)
128,GO:0071786,endoplasmic reticulum tubular network organization,GO:0071786,0.5483265075366122,1.2491004898919285,0.7507216051596819,33.32%,ZFYVE27;REEP3;RTN4;TMEM33;REEP4;RAB10;RETREG3;RAB18;RTN1;RTN3;LNPK,GO_Biological_Process_2023__Endoplasmic Reticulum Tubular Network Organization (GO:0071786)
129,GO:0001822,kidney development,GO:0001822,0.4687648777634274,1.2706230408256851,0.752402815424498,6.57%,VANGL2;GATA3;TGFBR1;PCSK9;VEGFA;FOXC1;PROX1;STRA6,GO_Biological_Process_2023__Kidney Development (GO:0001822)
130,GO:0006695,cholesterol biosynthetic process,GO:0006695,0.5030221771406108,1.2451685069677323,0.7526775685483967,21.83%,NPC1L1;HMGCR;INSIG1;SC5D;HSD17B7;MSMO1;CYP51A1;DHCR7;ARV1;HMGCS1,GO_Biological_Process_2023__Cholesterol Biosynthetic Process (GO:0006695)
131,GO:0080009,mRNA methylation,GO:0080009,0.556029947714411,1.2505066841509913,0.7528169133476343,35.18%,METTL4;METTL16;NSUN2;ZC3H13;TRMT61A;TRMT10C;TRMT61B;METTL3;WTAP,GO_Biological_Process_2023__mRNA Methylation (GO:0080009)
132,GO:0042886,amide transport,GO:0042886,0.5423422749350297,1.2417428374890542,0.753312684210644,19.59%,DISP1;SLC1A1;CERT1;GJA1;SLC5A6;OSBP;SLC25A32;SLC27A1,GO_Biological_Process_2023__Amide Transport (GO:0042886)
133,GO:0071276,cellular response to cadmium ion,GO:0071276,0.569336808277237,1.259510884346963,0.7543955641340888,9.55%,SLC39A8;FOS;JUN,GO_Biological_Process_2023__Cellular Response To Cadmium Ion (GO:0071276)
134,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,0.5196980140138859,1.2522889311408434,0.7559240100941259,6.98%,ADGRG6;ADM;ADCY3;GPR161,GO_Biological_Process_2023__Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)
135,GO:0006613,cotranslational protein targeting to membrane,GO:0006613,0.5946353280791339,1.2562334668318456,0.7566137072460521,31.20%,SRP19;TRAM1;SEC62;SSR1;SEC63;SRP72;SRPRA;SEC61A1;SRP54,GO_Biological_Process_2023__Cotranslational Protein Targeting To Membrane (GO:0006613)
136,GO:0014074,response to purine-containing compound,GO:0014074,0.5917181103831574,1.233564382898887,0.756929371396928,4.60%,NT5E;P2RX4,GO_Biological_Process_2023__Response To Purine-Containing Compound (GO:0014074)
137,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0051897,0.4281163597113828,1.2239500986175704,0.7598530884350619,4.98%,GATA3;SPRY2;ANGPT1;F10;TGFBR1;GDF15;P2RX4;PDGFA,GO_Biological_Process_2023__Positive Regulation Of Protein Kinase B Signaling (GO:0051897)
138,GO:0006775,fat-soluble vitamin metabolic process,GO:0006775,0.5734396567921622,1.2299911622257322,0.7604389007668002,3.60%,LRAT;NPC1L1,GO_Biological_Process_2023__Fat-Soluble Vitamin Metabolic Process (GO:0006775)
139,GO:0018149,peptide cross-linking,GO:0018149,0.5425928777294013,1.2086719886658968,0.7611279673512483,6.83%,TGM1;CSTA;TGM3;FN1,GO_Biological_Process_2023__Peptide Cross-Linking (GO:0018149)
140,GO:0051180,vitamin transport,GO:0051180,0.5049218277514347,1.214712616890684,0.7613536104397013,19.59%,SLC2A3;SLC19A2;NPC1L1;SLC2A6;SLC5A6;SLC52A2;SLC25A32;ABCD4;SLC2A1;SLC27A1,GO_Biological_Process_2023__Vitamin Transport (GO:0051180)
141,GO:0007423,sensory organ development,GO:0007423,0.4557204423710064,1.2093401920311364,0.7627790711731265,7.37%,GATA3;AHI1;SIPA1L3;MAB21L1;FOXC1;STRA6;PBX3,GO_Biological_Process_2023__Sensory Organ Development (GO:0007423)
