Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
P47974	ZFP36L2	-1.04358230965079	3.8872254764807706e-09	No	No
P49326	FMO5	-1.93354779170722	3.73731100240332e-13	No	No
P49662	CASP4	-2.15157764897	4.55338386479598e-16	No	No
P49674	CSNK1E	-1.17337970069228	7.616150335739731e-09	No	No
P50225	SULT1A1	-1.72577325549368	5.19329889829845e-34	No	No
P50226	SULT1A2	-1.29476983253968	7.56646916867535e-14	No	No
P53365	ARFIP2	-1.40844976058818	1.3676341372464799e-30	No	No
P55899	FCGRT	-1.19775203739563	1.03826265743374e-14	No	No
P56159	GFRA1	-1.57248532236655	1.12679314684442e-05	No	No
P57087	JAM2	-1.41848086025077	6.88153113315499e-06	No	No
P57729	RAB38	-1.26872261750226	1.88363798957984e-14	No	No
P60903	S100A10	-1.0010741219874	7.82482355989355e-15	No	No
P78357	CNTNAP1	-1.02723800905233	2.32356710813241e-13	No	No
P86452	ZBED6	-1.2760621449606	5.69169968456144e-08	No	No
P98082	DAB2	-1.07016461759576	1.48732401067145e-05	No	No
Q01826	SATB1	-1.01482042263165	2.9790831652519998e-36	No	No
Q03001	DST	-1.34036216812295	2.0264612104354302e-44	No	No
Q03112	MECOM	-2.00013060848298	1.16751860411708e-12	No	No
Q05682	CALD1	-1.27379728789763	8.13675085241388e-25	No	No
Q08AF3	SLFN5	-1.13790531551631	1.69894408982375e-26	No	No
Q13057	COASY	-1.42333423034063	5.7701469446719395e-40	No	No
Q13115	DUSP4	-1.02202421628554	1.13920194995736e-05	No	No
Q13636	RAB31	-1.5206671927155	3.4426093320306794e-11	No	No
Q15506	SPA17	-1.46403498236001	9.93257763397269e-16	No	No
Q15847	ADIRF	-1.03895410206083	0.0016809838756134	No	No
Q16719	KYNU	-1.36305005649693	4.15619907535716e-33	No	No
Q16762	TST	-1.24036884128711	1.1160251991905e-27	No	No
Q16773	KYAT1	-1.97925914550349	2.05792438698063e-20	No	No
Q1W6H9	FAM110C	-1.20807703242704	3.06544532197809e-09	No	No
Q24JP5	TMEM132A	-1.22935176634291	5.687052569045279e-28	No	No
Q2KHR2	RFX7	-1.18096880236233	0.0027804518213062	No	No
Q3KQV9	UAP1L1	-1.01167587681955	4.75274274564504e-25	No	No
Q3KQZ1	SLC25A35	-1.32295564912447	8.44278669173164e-24	No	No
Q49A88	CCDC14	-1.0599202196626	2.1722849355087e-08	No	No
Q53GG5	PDLIM3	-2.06141929805897	2.0736339572312e-07	No	No
Q53H47	SETMAR	-1.01565848524733	8.683829218143989e-22	No	No
Q58DX5	NAALADL2	-1.92689759168628	3.18773812528246e-16	No	No
Q5JSP0	FGD3	-1.27306978526279	0.000265667248939	No	No
Q5JTW2	CEP78	-1.34408409167118	1.98363529777639e-13	No	No
Q5JTZ5	C9orf152	-2.23639278550379	2.70855946071389e-16	No	No
Q5JVS0	HABP4	-1.3543310180647	6.25769010264415e-17	No	No
Q5R3I4	TTC38	-1.38277663302664	5.12369031470043e-18	No	No
Q5RL73	RBM48	-1.19148902384048	0.0030118469235127	No	No
Q5SRE7	PHYHD1	-2.12683934914249	1.1792692127243898e-11	No	No
Q5T011	SZT2	-1.24343823464466	3.53504899713285e-21	No	No
Q5T2W1	PDZK1	-1.83258526132866	3.30888934516855e-34	No	No
Q5T481	RBM20	-2.14725305437106	2.89363297272445e-10	No	No
Q5T4B2	CERCAM	-1.02341995963725	3.36183412170722e-19	No	No
Q5T6V5	C9orf64	-1.03379285047309	2.95203400099124e-21	No	No
Q5T7W7	TSTD2	-1.26099134559543	0.0001478200747738	No	No
Q5XKK7	FAM219B	-1.21089036609645	7.76024720606077e-16	No	No
Q5XXA6	ANO1	-1.15922262841504	1.21235247226417e-06	No	No
Q6AI08	HEATR6	-1.07352754571357	3.77616886590085e-22	No	No
Q6ICL3	TANGO2	-1.67465188445898	1.6727588329581698e-11	No	No
Q6NTF9	RHBDD2	-1.28099758698481	2.58590186586331e-16	No	No
Q6NV74	CRACDL	-1.24721836886067	1.06409533962851e-27	No	No
Q6NZI2	CAVIN1	-1.25505868889604	2.48749639018042e-07	No	No
Q6P4A8	PLBD1	-1.47390852385098	9.41533706151378e-16	No	No
Q6UWE0	LRSAM1	-1.23396318126512	1.21950643670163e-32	No	No
Q6UX71	PLXDC2	-2.89612373579282	1.51143304543538e-24	No	No
Q6ZNA1	ZNF836	-1.02698450775138	0.003394880485732	No	No
Q6ZNL6	FGD5	-2.877947665942	2.28451916220124e-19	No	No
Q6ZTW0	TPGS1	-1.77488975557419	2.79525599533413e-10	No	No
Q6ZUT6	CCDC9B	-1.05333235728173	2.67398588915779e-05	No	No
Q6ZWL3	CYP4V2	-1.21436174993885	3.43418703725426e-05	No	No
Q709C8	VPS13C	-1.13731465345633	3.2558675927464503e-35	No	No
Q70J99	UNC13D	-1.2941171811471	1.9831998388706397e-36	No	No
Q71U36	TUBA1A	-1.28528466602336	0.0001466540346822	No	No
Q7L5A8	FA2H	-1.17261011382285	5.6176345641428305e-15	No	No
Q7Z402	TMC7	-1.13371263569457	0.0036794280288195	No	No
Q7Z6L1	TECPR1	-1.01472123268918	2.5974269285468303e-10	No	No
Q7Z7L1	SLFN11	-1.31495052042843	4.02587245944661e-22	No	No
Q86TG7	PEG10	-1.72311324724796	1.02286776178307e-29	No	No
Q86YR5	GPSM1	-1.12321919084685	7.88468098652456e-27	No	No
Q8IU85	CAMK1D	-1.30100369269885	6.20700674249105e-14	No	No
Q8IVL6	P3H3	-1.68500071839065	2.26655587010125e-23	No	No
Q8IVS8	GLYCTK	-1.42699964888573	0.0001985346007313	No	No
Q8IXK2	GALNT12	-2.84214424211144	1.40524131441877e-06	No	No
Q8IXL7	MSRB3	-1.29294497061175	1.56497391533597e-12	No	No
Q8N0T1	RBIS	-1.06667838678658	3.36909068599705e-17	No	No
Q8N142	ADSS1	-1.39055199753884	1.22412082056842e-16	No	No
Q8N1Q1	CA13	-1.0491827858047	6.24542595101468e-07	No	No
Q8N3I7	BBS5	-1.07190549253444	0.0089602952979579	No	No
Q8N5R6	CCDC33	-1.06852334404241	0.000879820793545	No	No
Q8N8U2	CDYL2	-1.00375503167174	9.56153647198432e-05	No	No
Q8N9W5	DNAAF3	-1.72929322308285	2.49406706953753e-10	No	No
Q8NB16	MLKL	-1.09048981491472	4.12825573182577e-19	No	No
Q8NDB6	FAM156B	-1.15649308346973	0.0044611837724169	No	No
Q8NDN9	RCBTB1	-1.22190981014055	0.0001191074612909	No	No
Q8NEP3	DNAAF1	-1.7166820756955	2.73198884910868e-06	No	No
Q8TAD7	OCC1	-1.10057319044309	6.03931072010148e-07	No	No
