Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q8IYT8	ULK2	-1.38494994792973	0.0002538975303429	No	No
Q8IZW8	TNS4	-1.3246455540573	5.03058670175423e-23	No	No
Q8N0T1	RBIS	-1.05949404527916	4.30456910515419e-17	No	No
Q8N118	CYP4X1	-5.26078236746927	5.723741038656199e-56	No	No
Q8N1Q1	CA13	-1.28671117746168	6.9055112797904305e-09	No	No
Q8N398	VWA5B2	-3.17808672090455	2.79173958736985e-21	No	No
Q8N3J5	PPM1K	-1.43690589860213	1.97652424322557e-05	No	No
Q8N3Y7	SDR16C5	-1.48972980393064	8.42769309908316e-23	No	No
Q8N490	PNKD	-1.3721705489677	5.539372560348581e-19	No	No
Q8N556	AFAP1	-1.05132602376214	2.4109721849828403e-09	No	No
Q8N8U2	CDYL2	-1.09458735253623	2.72375795237254e-05	No	No
Q8N9F7	GDPD1	-1.01477263032524	7.34285635161015e-21	No	No
Q8N9W5	DNAAF3	-1.04922590545606	1.26253497144175e-05	No	No
Q8NBI5	SLC43A3	-2.02768556527525	3.79192439096472e-11	No	No
Q8NBJ4	GOLM1	-1.16496044497975	1.7132878965264e-34	No	No
Q8ND90	PNMA1	-1.39578627437001	3.95849972766916e-29	No	No
Q8NEP3	DNAAF1	-2.12877985790259	3.33326823208233e-08	No	No
Q8NFP9	NBEA	-1.16754483012554	1.59369712833295e-19	No	No
Q8NFR3	SPTSSB	-1.30029340936079	2.09925055066536e-06	No	No
Q8NFT2	STEAP2	-1.26494344458581	5.318568884057611e-19	No	No
Q8NFW9	MYRIP	-1.37002361240553	4.79947009608034e-05	No	No
Q8TB45	DEPTOR	-1.44414468171338	1.7220989527096e-27	No	No
Q8TC05	MDM1	-1.04384528353042	1.69534971046845e-06	No	No
Q8TCA0	LRRC20	-1.17176353338997	1.87951434265222e-13	No	No
Q8TD06	AGR3	-1.34411668205454	6.333229834022549e-26	No	No
Q8TE96	DQX1	-1.09710496726978	0.006252499641347	No	No
Q8TF71	SLC16A10	-1.37380777854559	3.94914736135946e-05	No	No
Q8WUM9	SLC20A1	-1.12682936023975	5.11722864165164e-19	No	No
Q8WUP2	FBLIM1	-1.01504738828864	1.80559027884962e-13	No	No
Q8WV24	PHLDA1	-1.24155325329405	0.0008359373849335	No	No
