Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q58DX5	NAALADL2	-2.11419079853511	1.1239590731537e-17	No	No
Q58EX7	PLEKHG4	-1.05609124278694	3.09399505730062e-05	No	No
Q5MY95	ENTPD8	-1.13710203824818	0.0006615718818729	No	No
Q5SRE7	PHYHD1	-2.52744803862668	5.4443084791620997e-14	No	No
Q5T2W1	PDZK1	-3.7464445297547	4.6172768285699003e-48	No	No
Q5T848	GPR158	-2.17808357702832	6.43439686103649e-12	No	No
Q5T8I3	FAM102B	-1.97822139724395	1.90180368895466e-07	No	No
Q5U3C3	TMEM164	-2.20522201388362	1.38707691119628e-21	No	No
Q5VT66	MTARC1	-1.36818347891792	9.66844973492766e-31	No	No
Q5VWC8	HACD4	-1.28591402200431	6.32162871805505e-08	No	No
Q68BL7	OLFML2A	-1.03110282219841	0.000178996586886	No	No
Q68CR1	SEL1L3	-1.94875034146227	0.0015987001586749	No	No
Q68D85	NCR3LG1	-1.04971156983536	1.5446756118782701e-10	No	No
Q6BCY4	CYB5R2	-1.27987585526836	8.071923129734151e-19	No	No
Q6F5E8	CARMIL2	-1.16068885200074	4.97097998837977e-07	No	No
Q6JQN1	ACAD10	-1.03581500656157	1.21966087863582e-27	No	No
Q6NT55	CYP4F22	-2.00759714392439	1.72777820060733e-05	No	No
Q6UWI4	SHISA2	-3.34118325171432	2.0676027348358498e-22	No	No
Q6UWW8	CES3	-1.09499351742782	1.03474794467542e-10	No	No
Q6UX53	METTL7B	-3.32324741525195	1.92686123482455e-23	No	No
Q6UX71	PLXDC2	-1.71807057558338	7.72315998982131e-16	No	No
Q6UXG2	ELAPOR1	-1.21448176113554	1.77242826831808e-27	No	No
Q6UXI9	NPNT	-2.09975486118925	5.4785659781141e-11	No	No
Q6XZF7	DNMBP	-1.04281269721826	0.0001615184617275	No	No
Q6ZNL6	FGD5	-9.31816450508699	5.16401438877896e-41	No	No
Q76EJ3	SLC35D2	-1.62281417881086	0.0006236618132537	No	No
Q7L5L3	GDPD3	-2.17132231095514	9.69690317198493e-24	No	No
Q7L5N7	LPCAT2	-1.23536952936216	5.85671398581498e-24	No	No
Q7Z406	MYH14	-1.86670002539822	3.29739656993996e-40	No	No
Q7Z591	AKNA	-1.11537999884249	0.0024204219257119	No	No
Q86SF2	GALNT7	-1.1470065169646	1.9212337845578997e-37	No	No
Q86SJ2	AMIGO2	-1.09113709023298	7.30408650640753e-05	No	No
Q86SQ0	PHLDB2	-1.52054328362494	7.434235831441541e-15	No	No
Q86UK0	ABCA12	-3.65913358938297	2.72371722457551e-35	No	No
Q86UX6	STK32C	-2.02652850345889	3.67158246028205e-19	No	No
Q86UY8	NT5DC3	-1.00627717428385	6.80416103602554e-25	No	No
Q86VR7	VSIG10L	-1.71612949929259	1.82891612692769e-35	No	No
Q86WV6	STING1	-2.6884197442722	1.78845770822327e-12	No	No
