Protein_Group	Genes	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_logFC	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q03014	HHEX	-1.39785311208687	3.4085304795217e-11	No	No
Q05D32	CTDSPL2	-1.77320190368665	1.0331037802219499e-34	No	No
Q06609	RAD51	-2.48038005670939	1.7209877160509702e-23	No	No
Q07864	POLE	-1.46443849939878	2.36527056000442e-37	No	No
Q08050	FOXM1	-1.47222787116623	6.39183923824585e-05	No	No
Q12815	TROAP	-2.39449907616577	7.074154229908229e-18	No	No
Q12834	CDC20	-3.67887681859012	6.818255281068499e-35	No	No
Q13111	CHAF1A	-1.68075600660388	1.49084918685179e-31	No	No
Q13112	CHAF1B	-2.02128930154872	1.14927786475999e-38	No	No
Q13115	DUSP4	-1.50785828915742	3.7872760033591e-09	No	No
Q13257	MAD2L1	-1.55698998789467	1.59166743925892e-23	No	No
Q13309	SKP2	-2.81503287574335	5.47924264493928e-19	No	No
Q13415	ORC1	-1.25047183631766	1.80695079077229e-18	No	No
Q13487	SNAPC2	-2.21151894427265	2.33181629820493e-07	No	No
Q13506	NAB1	-1.37798828596698	6.18619675587759e-06	No	No
Q14181	POLA2	-1.52120325215463	1.14292004514388e-27	No	No
Q14207	NPAT	-1.00833769399706	1.27404699137935e-13	No	No
Q14493	SLBP	-1.17689021293079	2.44383232119977e-16	No	No
Q14566	MCM6	-1.24901524699665	3.00433291774741e-41	No	No
Q14674	ESPL1	-3.31848901690906	2.64690568628778e-33	No	No
Q14676	MDC1	-1.2423939319315	6.08680657626461e-33	No	No
Q14679	TTLL4	-1.16605607282678	0.0056092306671752	No	No
Q14680	MELK	-1.42022832321297	1.45573214859566e-15	No	No
Q14691	GINS1	-1.52602391221175	1.48789543824424e-26	No	No
Q14781	CBX2	-1.4085122105041	3.2555727146814003e-21	No	No
Q14807	KIF22	-3.61326588203837	4.4142774566561196e-42	No	No
Q14CB8	ARHGAP19	-2.20868124110798	3.89060616351351e-17	No	No
Q15003	NCAPH	-2.03397478155962	2.4942944376512697e-43	No	No
Q15004	PCLAF	-4.19837428393384	2.02860310863913e-32	No	No
Q15021	NCAPD2	-2.20007226943988	2.36879406085781e-50	No	No
Q15054	POLD3	-1.25657673693866	8.64890733020013e-34	No	No
Q15058	KIF14	-2.21516195020372	2.1765715131819697e-42	No	No
Q15398	DLGAP5	-2.08616298647244	3.92532489271188e-34	No	No
Q15468	STIL	-2.14304907895333	1.7097550749777201e-19	No	No
Q15645	TRIP13	-1.03453665706768	1.04748440429624e-29	No	No
Q15742	NAB2	-1.04615361845272	5.69037900910945e-22	No	No
Q15910	EZH2	-1.30133692377772	5.72015754178489e-24	No	No
Q16533	SNAPC1	-1.25928338333016	6.180513825573771e-09	No	No
Q16667	CDKN3	-2.65138154237516	5.845274423169759e-11	No	No
Q16763	UBE2S	-2.65190574453167	2.4427951422213098e-30	No	No
Q2I0M4	LRRC26	-1.28479865335113	4.32676209701785e-05	No	No
Q2KHR3	QSER1	-1.12864995054541	2.75114689820945e-23	No	No
Q2NKX8	ERCC6L	-1.43973556945655	9.69236201247238e-33	No	No
Q53EZ4	CEP55	-2.40904685041953	4.2044589921190495e-34	No	No
Q53H80	AKIRIN2	-1.173629668317	0.0009413919957995	No	No
Q53HL2	CDCA8	-3.37077567565978	1.89853669116367e-30	No	No
Q562F6	SGO2	-1.59508734963201	8.382881332256611e-10	No	No
Q56A73	SPIN4	-1.76427689202894	1.61266959259277e-17	No	No
Q56NI9	ESCO2	-2.46459313186727	3.8605823779784304e-23	No	No
Q5EBM0	CMPK2	-1.15934243280319	0.0016912238711336	No	No
Q5FBB7	SGO1	-4.04831869344576	3.1194860358702e-28	No	No
Q5JUR7	TEX30	-1.0808169916324	5.73243933942609e-07	No	No
Q5T6S3	PHF19	-2.65705893835395	6.20079529922648e-19	No	No
Q5TBB1	RNASEH2B	-1.01462874680668	5.95659562793203e-21	No	No
Q5UIP0	RIF1	-1.46464692690957	3.7536041048432095e-40	No	No
Q5XXA6	ANO1	-1.62107726091351	5.84246474100037e-10	No	No
Q68D06	SLFN13	-1.35648264280227	8.53214446706953e-20	No	No
Q68D85	NCR3LG1	-1.26462108215142	6.35091830801412e-13	No	No
Q69YH5	CDCA2	-2.15753575688135	3.2595309052224897e-18	No	No
Q6IBW4	NCAPH2	-1.88504176614934	2.24128661711788e-29	No	No
Q6IE81	JADE1	-1.387257357682	1.72548518591562e-13	No	No
Q6IPU0	CENPP	-1.69603190253687	8.35184820271432e-13	No	No
Q6NS38	ALKBH2	-1.08474985784547	1.10816913705059e-16	No	No
Q6NZ36	FAAP20	-1.1366253263449	0.0039422897647359	No	No
Q6P0N0	MIS18BP1	-2.4884711146367	8.2454223838838e-28	No	No
Q6P4F7	ARHGAP11A	-1.61683102759365	4.59847176881298e-08	No	No
Q6PEV8	FAM199X	-1.6673950692596	7.28467536501728e-06	No	No
Q6PGN9	PSRC1	-3.16229280056498	4.76976766964998e-25	No	No
Q6PIW4	FIGNL1	-1.15275176331637	7.05632608124991e-28	No	No
Q6PL18	ATAD2	-1.76335051421838	2.3709815152951597e-36	No	No
Q6SJ93	FAM111B	-2.88524676530767	7.19632251448743e-36	No	No
Q6YHK3	CD109	-1.28495862466483	2.572483143346e-07	No	No
Q6ZRQ5	MMS22L	-1.88450801311521	1.5732876102217302e-23	No	No
Q71F23	CENPU	-1.82840155030951	2.1503493818297703e-25	No	No
Q7L266	ASRGL1	-1.79207492757484	1.59091342106592e-06	No	No
Q7L2Z9	CENPQ	-1.79097419475074	4.1914604080794795e-18	No	No
Q7L590	MCM10	-2.83145274956976	4.19997207383465e-13	No	No
Q7RTY0	SLC16A13	-1.01510543919476	0.0007807758084861	No	No
Q7Z7L1	SLFN11	-1.59610575488545	1.49354771501398e-25	No	No
Q86SX3	TEDC1	-1.07498797702134	5.98235825784513e-15	No	No
Q86T82	USP37	-1.93726060666277	1.3692437259538401e-17	No	No
