Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
P16885	PLCG2	-1.84732824095935	1.38710971867366e-27	No	No
P20591	MX1	-1.37307732662126	2.51065550001486e-13	No	No
P21695	GPD1	-1.81416100383095	4.32766413137773e-24	No	No
P21741	MDK	-3.91295042578433	4.5528681621764705e-20	No	No
P21926	CD9	-1.04032052061959	1.59147596911792e-22	No	No
P22492	H1-6	-1.89556517348037	1.34108132935651e-08	No	No
P22570	FDXR	-1.10849413975669	7.873630292290289e-36	No	No
P24588	AKAP5	-1.11245884020014	0.0034433228781023	No	No
P25815	S100P	-1.95034016855308	6.4444807227081e-21	No	No
P25942	CD40	-2.85749467411031	3.22453947883238e-19	No	No
P28067	HLA-DMA	-1.81584026283665	2.28181424204115e-07	No	No
P28289	TMOD1	-1.67879832396289	1.01595274402164e-17	No	No
P29728	OAS2	-1.45932470469713	1.86808540583003e-07	No	No
P30533	LRPAP1	-1.04620261905532	1.0056896878356199e-30	No	No
P35080	PFN2	-1.56827725396042	4.0397675394212797e-22	No	No
P35568	IRS1	-1.23696289494905	7.9680293440647e-19	No	No
P35611	ADD1	-1.10209082981808	1.71126626741338e-35	No	No
P36969	GPX4	-1.47665979313349	7.57575335290472e-27	No	No
P40199	CEACAM6	-1.0053124699823	0.0010855880708566	No	No
P41271	NBL1	-1.69945489692248	2.633201011833e-09	No	No
P43121	MCAM	-1.10212210158011	3.2279576504403394e-11	No	No
P43234	CTSO	-1.60021616957321	1.50342667904996e-10	No	No
P43355	MAGEA1	-4.45553963245326	2.1852487820912802e-20	No	No
P45844	ABCG1	-1.7301043551539	9.18933990046131e-07	No	No
P47712	PLA2G4A	-1.28709294028776	2.2532642296578098e-11	No	No
P47974	ZFP36L2	-1.11452305787365	7.22245672840905e-10	No	No
P48066	SLC6A11	-1.60562406073929	0.0026431844471232	No	No
P48539	PCP4	-2.66954240818514	1.87003621839446e-15	No	No
P49326	FMO5	-2.62398574483991	1.03803369931741e-17	No	No
P49418	AMPH	-1.35566570987638	0.0001307484545409	No	No
P50579	METAP2	-1.08365777153468	4.78628805326736e-25	No	No
P51161	FABP6	-1.10291136783829	0.0073036960896108	No	No
P51589	CYP2J2	-1.30161610756413	2.3851758626959097e-11	No	No
P52566	ARHGDIB	-1.89419221027523	6.27510879453652e-27	No	No
P52823	STC1	-1.54411957135964	0.0001860962689523	No	No
P53634	CTSC	-1.22138858982602	7.98276573814798e-24	No	No
P54108	CRISP3	-1.45829585633086	4.77753776756692e-07	No	No
P54764	EPHA4	-1.0922817698065	5.42451644266672e-13	No	No
P55082	MFAP3	-1.51124559005902	1.53027692444198e-24	No	No
P56159	GFRA1	-1.35076347931367	0.0001091983196509	No	No
P61647	ST8SIA6	-1.73530662532631	8.725537102864409e-11	No	No
P61764	STXBP1	-2.4659865274129	1.2848142515209199e-30	No	No
P69905	HBA2	-1.17535086336667	0.0007514122456354	No	No
P78364	PHC1	-1.08839963674617	0.0048173776120302	No	No
P78540	ARG2	-1.07918602063297	1.3373505666136502e-19	No	No
P78559	MAP1A	-1.55169523625114	5.6280639240768304e-24	No	No
P80217	IFI35	-1.80248651620165	2.55382279446267e-29	No	No
P81605	DCD	-1.23561753890531	0.0041836831267513	No	No
P98082	DAB2	-1.91511359887572	3.31605483307609e-11	No	No
Q00534	CDK6	-1.06129432065076	1.2415725778798e-09	No	No
Q00887	PSG9	-1.29206595300085	7.88998492927717e-06	No	No
Q00978	IRF9	-1.99238621550306	2.25159073412515e-16	No	No
Q02318	CYP27A1	-1.32402149464552	7.4367497330007e-05	No	No
Q02952	AKAP12	-1.50019690060439	5.88282299358213e-06	No	No
Q07065	CKAP4	-1.02496597348655	5.35737030065593e-31	No	No
Q07654	TFF3	-2.15060824461332	1.2205152167573e-19	No	No
Q07954	LRP1	-2.32486541087379	5.18438819893881e-38	No	No
Q08380	LGALS3BP	-1.91692450425319	3.0307312333293003e-32	No	No
Q08426	EHHADH	-1.35008870540354	2.67959758542624e-37	No	No
Q08AF3	SLFN5	-2.89435546647386	2.91544361618111e-44	No	No
Q12791	KCNMA1	-1.68401657336703	3.0695050876487904e-15	No	No
Q12800	TFCP2	-1.05770475026572	1.3952182757884e-17	No	No
Q12948	FOXC1	-1.15919757342917	0.0028048149519362	No	No
Q13115	DUSP4	-1.76280396514734	5.938238733250649e-11	No	No
Q13287	NMI	-1.64575835973386	3.50150147486211e-26	No	No
Q13867	BLMH	-1.50353373212228	3.1730507925232997e-31	No	No
Q14050	COL9A3	-1.87643736065848	1.67539445077646e-05	No	No
Q14142	TRIM14	-1.94104255323805	1.90498783131823e-13	No	No
Q15746	MYLK	-1.17804704148047	6.30736353963985e-05	No	No
Q15768	EFNB3	-1.57788749890167	2.37095957488746e-10	No	No
Q16270	IGFBP7	-1.22569500960258	6.93021534991542e-05	No	No
Q16678	CYP1B1	-3.51039341983469	7.225777833840319e-30	No	No
Q30154	HLA-DRB5	-2.50237570736938	4.5942188318769295e-12	No	No
Q3KR16	PLEKHG6	-1.29141441349422	2.68171789427905e-06	No	No
Q3SY69	ALDH1L2	-1.04101788229177	5.08946863565771e-12	No	No
Q495W5	FUT11	-1.06949278765598	1.34997078936241e-13	No	No
Q53FA7	TP53I3	-4.63676699569978	1.54131049405335e-59	No	No
Q53GG5	PDLIM3	-3.19584525295067	2.49556003081822e-12	No	No
Q5EBM0	CMPK2	-2.09569322816546	2.68006395629573e-07	No	No
Q5JSL3	DOCK11	-1.27081065185446	2.35643896789258e-14	No	No
Q5JTD7	LRRC73	-1.1218109637163	0.0049067523708192	No	No
