"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0048854","GO:0048854",66,"GO:0048854",0.743099292511571,37,"brain morphogenesis","brain morphogenesis",0.91631750339213,0.7255,0
"GO:0034105","GO:0034105",58,"GO:0060312",0.743099292511571,23,"positive regulation of tissue remodeling","regulation of blood vessel remodeling",0.898687924016282,0.591,0.818
"GO:0051873","GO:0051873",42,"GO:0051838",0.743099292511571,28,"killing by host of symbiont cells","cytolysis by host of symbiont cells",0.945949796472185,0.5395,0.921
"GO:0001773","GO:0001773",45,"GO:0050865",0.743099292511571,29,"myeloid dendritic cell activation","regulation of cell activation",0.950628222523745,0.52475,0.614
"GO:0033210","GO:0033210",60,"GO:0070100",0.743099292511571,10,"leptin-mediated signaling pathway","negative regulation of chemokine-mediated signaling pathway",0.896580732700136,0.5176,0.534
"GO:0018344","GO:0018344",69,"GO:0018344",0.743099292511571,7,"protein geranylgeranylation","protein geranylgeranylation",0.946944369063772,0.5125,0
"GO:0086042","GO:0086042",53,"GO:0086073",0.743099292511571,7,"cardiac muscle cell-cardiac muscle cell adhesion","bundle of His cell-Purkinje myocyte adhesion involved in cell communication",0.979310719131615,0.507,0.986
"GO:0044351","GO:0044351",68,"GO:0044351",0.743099292511571,9,"macropinocytosis","macropinocytosis",0.951417910447761,0.4378,0
"GO:0033629","GO:0033629",73,"GO:0033629",0.743099292511571,12,"negative regulation of cell adhesion mediated by integrin","negative regulation of cell adhesion mediated by integrin",0.923267299864315,0.4214,0
"GO:0043508","GO:0043508",71,"GO:0043508",0.743099292511571,14,"negative regulation of JUN kinase activity","negative regulation of JUN kinase activity",0.804812754409769,0.400833333333333,0
"GO:0006284","GO:0006284",61,"GO:0006284",0.743099292511571,44,"base-excision repair","base-excision repair",0.89748710990502,0.389428571428571,0
"GO:0008285","GO:0008285",62,"GO:0008285",0.743099292511571,957,"negative regulation of cell population proliferation","negative regulation of cell population proliferation",0.87276526458616,0.3862,0
"GO:0043524","GO:0043524",63,"GO:0043524",0.743099292511571,163,"negative regulation of neuron apoptotic process","negative regulation of neuron apoptotic process",0.910641791044776,0.385333333333333,0
"GO:0031103","GO:0031103",65,"GO:0031103",0.743099292511571,52,"axon regeneration","axon regeneration",0.800001356852103,0.385,0
"GO:1902744","GO:1902744",6,"GO:0120034",0.743099292511571,8,"negative regulation of lamellipodium organization","positive regulation of plasma membrane bounded cell projection assembly",0.865588873812754,0.36865,0.607
"GO:0099558","GO:0099558",2,"GO:0050808",0.743099292511571,26,"maintenance of synapse structure","synapse organization",0.926103120759837,0.368444444444444,0.75
"GO:0099519","GO:0099519",18,"GO:0097479",0.743099292511571,11,"dense core granule cytoskeletal transport","synaptic vesicle localization",0.943633649932157,0.3684,0.737
"GO:0007606","GO:0007606",3,"GO:2000463",0.743099292511571,533,"sensory perception of chemical stimulus","positive regulation of excitatory postsynaptic potential",0.946651289009498,0.360142857142857,0.605
"GO:0060379","GO:0060379",67,"GO:0060379",0.743099292511571,12,"cardiac muscle cell myoblast differentiation","cardiac muscle cell myoblast differentiation",0.903440976933514,0.3584,0
"GO:1903939","GO:1903939",72,"GO:1903939",0.743099292511571,7,"regulation of TORC2 signaling","regulation of TORC2 signaling",0.894773405698779,0.357285714285714,0
"GO:0044782","GO:0044782",27,"GO:0051491",0.743099292511571,407,"cilium organization","positive regulation of filopodium assembly",0.893822252374491,0.3545,0.57
"GO:1900747","GO:1900747",20,"GO:1900746",0.743099292511571,17,"negative regulation of vascular endothelial growth factor signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.865332428765265,0.346818181818182,0.969
"GO:0007507","GO:0007507",36,"GO:0002040",0.743099292511571,617,"heart development","sprouting angiogenesis",0.890948439620081,0.339727272727273,0.704
"GO:0031272","GO:0031272",6,"GO:0120034",0.743099292511571,13,"regulation of pseudopodium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.867402985074627,0.3342,0.79
"GO:0031274","GO:0031274",6,"GO:0120034",0.743099292511571,13,"positive regulation of pseudopodium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.846606512890095,0.30205,0.867
