Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
P04925	Prnp	2.55819420154894	1.14054053548888e-06	No	No
P04939	Mup3	1.21069945842284	0.0004917141236384	No	No
P05132	Prkaca	2.20029390314017	0.0015073833663992	No	No
P05202	Got2	3.50499350540674	5.43193886632534e-06	No	No
P05480	Src	5.9454159877996	4.26914441123838e-09	No	No
P05622	Pdgfrb	4.95326467439898	7.8003562564565e-06	No	No
P06240	Lck	4.94303088954277	4.63429348157142e-07	No	No
P06344	gene	1.47628298525412	0.0009997627662439	No	No
P06683	C9	1.32149234431111	0.0002734745622419	No	No
P06800	Ptprc	3.02669924699585	8.80441835360485e-09	No	No
P07091	S100a4	1.14390056140225	0.0047537008637367	No	No
P07141	Csf1	1.37684308989363	0.0058858430356697	No	No
P07146	Prss2	1.90801586643884	6.72731190767764e-06	No	No
P07214	Sparc	3.51882877819567	7.246480185484681e-09	No	No
