Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
P34884	Mif	-4.08761305284428	0.0003459996359289	No	No
P35174	Stfa2	-5.38757495347102	7.69103658357374e-07	No	No
P35278	Rab5c	-7.05834853592177	3.81400013735692e-05	No	No
P35441	Thbs1	-3.25746779980306	0.0024824790787748	No	No
P35486	Pdha1	-7.85075457991756	4.79992614474126e-06	No	No
P35564	Canx	-8.61112673033396	3.85407752919221e-05	No	No
P35585	Ap1m1	-3.11466510530262	0.0001163809885912	No	No
P35700	Prdx1	-2.33053712419479	0.0012057126746427	No	No
P35821	Ptpn1	-4.58589933095783	0.0043647792457361	No	No
P35922	Fmr1	-4.55108346244078	0.0012698623451424	No	No
P35991	Btk	-4.63611738713375	0.0013340873701639	No	No
P36552	Cpox	-4.00353954647479	0.006642872360444	No	No
P37040	Por	-7.1638124931044	0.0004159654692835	No	No
P39447	Tjp1	-2.87015776042123	0.0066649875193678	No	No
P39654	Alox15	-5.97819625019435	4.49304486434473e-06	No	No
P39749	Fen1	-5.36193781446565	0.0001012168961767	No	No
P40124	Cap1	-2.41445179604195	0.0084257062925307	No	No
P40142	Tkt	-2.47301555929355	0.0002726685849349	No	No
P40240	Cd9	-7.47372706611233	4.70297623834993e-08	No	No
P41245	Mmp9	-7.48155838626456	1.19987232107305e-10	No	No
P42208	Septin2	-2.52901493793829	0.0062602474654097	No	No
P42227	Stat3	-3.98943671987381	0.0029156926225044	No	No
P42230	Stat5a	-2.83151641182734	0.0008664144738967	No	No
P42232	Stat5b	-3.0359658058658	0.0021200865570411	No	No
P42567	Eps15	-3.39037494758113	0.0005168271574699	No	No
P43247	Msh2	-5.85027088783336	1.96169646470851e-08	No	No
P43274	H1-4	-3.06762046705895	0.0009402979061631	No	No
P43275	H1-1	-3.13787894442338	0.0014190587931397	No	No
P43277	H1-3	-6.57167922673004	7.704392249293049e-11	No	No
P43346	Dck	-3.84918955460079	2.32127418914279e-06	No	No
P45376	Akr1b1	-2.41919510243498	0.0079464070243258	No	No
P45878	Fkbp2	-5.38326225096251	3.80128217307638e-06	No	No
P46062	Sipa1	-4.6465176434862	9.47045949936184e-05	No	No
P46664	Adss2	-2.49673046432841	0.0002275453555696	No	No
P46737	Brcc3	-6.02582854223593	0.0002630084066822	No	No
P47713	Pla2g4a	-5.11235426079772	0.0006019952171591	No	No
P47738	Aldh2	-3.8829397422431	0.0051794070050371	No	No
P47753	Capza1	-2.60208006794265	0.0034274798514206	No	No
P47754	Capza2	-2.03501681592262	0.0058080394615462	No	No
P47791	Gsr	-2.89114002117116	4.72255008214626e-06	No	No
P47811	Mapk14	-2.7828877352219	0.0004805244544376	No	No
P47941	Crkl	-4.81026402685832	0.0017220812307906	No	No
P47955	Rplp1	-2.30709163578351	0.0005181917747886	No	No
P47968	Rpia	-2.60550002572165	6.58853912275411e-05	No	No
P48025	Syk	-5.84776064131169	0.0003160801424698	No	No
P48428	Tbca	-3.86616970453646	0.0008872376736173	No	No
P48999	Alox5	-4.59648130397916	3.14483183873232e-05	No	No
P49443	Ppm1a	-3.95661699794157	0.0020944066412311	No	No
P49586	Pcyt1a	-4.24833947569432	0.007840155386301	No	No
P49722	Psma2	-2.64579889017821	0.0003057004711167	No	No
P49935	Ctsh	-3.36549988653929	0.0001113835291037	No	No
P49962	Srp9	-6.19805033221773	1.48117740223169e-05	No	No
P50295	Nat2	-2.68261085469312	0.0002758750187993	No	No
P50396	Gdi1	-2.90273654954797	0.0029011866015968	No	No
P50516	Atp6v1a	-2.77681513266063	0.00260073196294	No	No
P50518	Atp6v1e1	-6.27208675190849	0.0028937642232622	No	No
P50543	S100a11	-2.75250025979901	0.005545029584857	No	No
P51125	Cast	-4.48295481122538	0.0016980444536279	No	No
P51174	Acadl	-3.85551118634053	8.1232385616474e-06	No	No
P51432	Plcb3	-3.89547815155626	9.79070548854171e-05	No	No
P51437	Camp	-7.32004467085805	8.85456080442564e-13	No	No
P51660	Hsd17b4	-3.59507600187251	0.0015736292008697	No	No
P51855	Gss	-5.20481780725921	1.24375220222701e-05	No	No
P51880	Fabp7	-2.33354752318863	0.0067580688964871	No	No
P52431	Pold1	-5.98682258602436	1.25448351885963e-08	No	No
P52624	Upp1	-2.45767297900519	0.0032059910927848	No	No
P53026	Rpl10a	-2.16371463687211	0.0024856875756713	No	No
P53811	Pitpnb	-7.34542263570174	0.0001697669669715	No	No
P54728	Rad23b	-3.76401246840491	0.0066345992098903	No	No
P54822	Adsl	-3.13808043817336	9.51786811472563e-06	No	No
P54923	Adprh	-3.3023558155442	0.0061748530396523	No	No
P56376	Acyp1	-3.62147688466401	7.11958870002204e-06	No	No
P56380	Nudt2	-4.57054717514355	0.0065561442158426	No	No
P56399	Usp5	-3.63745837882743	0.0035706971982028	No	No
P56477	Irf5	-4.98178846102951	6.32492127720907e-06	No	No
P56812	Pdcd5	-3.7087277758444	0.0006422290187848	No	No
P57080	Usp25	-4.44072015776447	0.0027814872623972	No	No
P57780	Actn4	-2.40804512625873	0.0004124699209823	No	No
P58044	Idi1	-5.93686538595754	4.6850994224941e-08	No	No
P58058	Nadk	-2.86635460422124	0.0014153371747151	No	No
P58389	Ptpa	-2.66941040691502	0.0002818361117087	No	No
P58404	Strn4	-3.05124175083276	0.0082501215877106	No	No
P59729	Rin3	-6.35943637201664	0.00803750722829	No	No
P59999	Arpc4	-2.3040733164112	0.0003871803238089	No	No
P60670	Nploc4	-4.87902537990498	8.44116486989558e-05	No	No
P60710;P63260	Actb;Actg1	-2.30095618395256	0.0050707038352965	No	No
P60766	Cdc42	-2.79828676716776	0.0073107868094849	No	No
P61079	Ube2d3	-2.93653055563737	0.0021111821712517	No	No
P61089	Ube2n	-2.99170680996932	0.0016070687456121	No	No
P61161	Actr2	-2.52694740693004	0.0002815088638095	No	No
P61164	Actr1a	-2.64575460028065	0.0070097319477695	No	No
P61211	Arl1	-3.64993343238123	0.007789810400818	No	No
P61957	Sumo2	-3.00801360840051	0.0010993818595327	No	No
P61963	Dcaf7	-4.95661123800089	1.87896089764373e-06	No	No
P61965	Wdr5	-7.60540526622089	2.25685886210074e-05	No	No
P61982	Ywhag	-2.3061632091692	0.0006049055084802	No	No
P62259	Ywhae	-2.50182011822976	0.0035152282059555	No	No
P62311	Lsm3	-2.32874794799783	0.001986584678043	No	No
P62743	Ap2s1	-3.85774882935241	0.000291641247008	No	No
P62774	Mtpn	-3.19249960645334	0.0018622449453253	No	No
P62814	Atp6v1b2	-2.67553894292714	0.009070433230238	No	No
P62835	Rap1a	-2.71660226600419	0.0044573100134677	No	No
P62878	Rbx1	-6.88188851354564	1.45581329922004e-08	No	No
P62897	Cycs	-3.52963429267574	3.40221824068574e-05	No	No
P62962	Pfn1	-2.84946213569019	4.39309789572347e-05	No	No
P63001	Rac1	-2.34321952682566	0.00252110034513	No	No
P63005	Pafah1b1	-2.66154675404288	0.0060779261405864	No	No
P63017	Hspa8	-2.26544907536186	0.0079484212716198	No	No
P63028	Tpt1	-3.20715791315513	0.0043759636358852	No	No
P63101	Ywhaz	-2.59231259367345	0.0014286110722716	No	No
P63154	Crnkl1	-3.37771550763128	0.0040563309038026	No	No
