,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
136,GO:0030838,positive regulation of actin filament polymerization,GO:0030838,0.3031533,4.753735,7.707315,CDC42EP3,Positive Regulation Of Actin Filament Polymerization (GO:0030838)
137,GO:0019932,second-messenger-mediated signaling,GO:0019932,0.31036,4.570436,7.256064,PLCE1,Second-Messenger-Mediated Signaling (GO:0019932)
138,GO:0043604,amide biosynthetic process,GO:0043604,0.3266942,4.243115,6.467339,PCSK5,Amide Biosynthetic Process (GO:0043604)
139,GO:0062012,regulation of small molecule metabolic process,GO:0062012,0.3320641,4.096386,6.121265,ADIPOR1,Regulation Of Small Molecule Metabolic Process (GO:0062012)
140,GO:0042789,mRNA transcription by RNA polymerase II,GO:0042789,0.3320641,4.096386,6.121265,NCOA1,mRNA Transcription By RNA Polymerase II (GO:0042789)
141,GO:0007423,sensory organ development,GO:0007423,0.3402843,3.959438,5.802667,FREM2,Sensory Organ Development (GO:0007423)
142,GO:0006767,water-soluble vitamin metabolic process,GO:0006767,0.350148,3.71122,5.236565,DHFR,Water-Soluble Vitamin Metabolic Process (GO:0006767)
143,GO:0051240,positive regulation of multicellular organismal process,GO:0051240,0.350148,1.794259,2.529393,NCOA1;TGFB3;ADIPOR1,Positive Regulation Of Multicellular Organismal Process (GO:0051240)
144,GO:0071277,cellular response to calcium ion,GO:0071277,0.350148,3.71122,5.236565,NLGN1,Cellular Response To Calcium Ion (GO:0071277)
145,GO:0072001,renal system development,GO:0072001,0.3643616,3.392083,4.53168,PCSK5,Renal System Development (GO:0072001)
146,GO:0048015,phosphatidylinositol-mediated signaling,GO:0048015,0.3773594,3.208076,4.137893,PLCE1,Phosphatidylinositol-Mediated Signaling (GO:0048015)
147,GO:0043588,skin development,GO:0043588,0.3960012,2.893917,3.488841,TXNIP,Skin Development (GO:0043588)
148,GO:0045444,fat cell differentiation,GO:0045444,0.3960012,2.893917,3.488841,BBS4,Fat Cell Differentiation (GO:0045444)
149,GO:0072657,protein localization to membrane,GO:0072657,0.3960012,1.859947,2.242595,NLGN1;NLGN2,Protein Localization To Membrane (GO:0072657)
150,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,GO:0050730,0.3960012,2.893917,3.488841,NRG1,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)
151,GO:0006401,RNA catabolic process,GO:0006401,0.4240192,2.522943,2.764175,DNA2,RNA Catabolic Process (GO:0006401)
152,GO:0090263,positive regulation of canonical Wnt signaling pathway,GO:0090263,0.4713973,2.042169,1.903238,LGR5,Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263)
153,GO:0071248,cellular response to metal ion,GO:0071248,0.4834914,1.941142,1.735182,NLGN1,Cellular Response To Metal Ion (GO:0071248)
154,GO:0031400,negative regulation of protein modification process,GO:0031400,0.4878673,1.909639,1.683782,ENSA,Negative Regulation Of Protein Modification Process (GO:0031400)
155,GO:0016567,protein ubiquitination,GO:0016567,0.555648,1.148268,0.8151917,ANKRD9;PDZRN3;RNF166,Protein Ubiquitination (GO:0016567)
156,GO:1901566,organonitrogen compound biosynthetic process,GO:1901566,0.5673974,1.440934,0.9819548,PCSK5,Organonitrogen Compound Biosynthetic Process (GO:1901566)
157,GO:0051092,positive regulation of NF-kappaB transcription factor activity,GO:0051092,0.5773222,1.373354,0.8916183,RTKN2,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)
158,GO:0010256,endomembrane system organization,GO:0010256,0.7520976,0.782249,0.2527554,HOOK2,Endomembrane System Organization (GO:0010256)
159,GO:0006508,proteolysis,GO:0006508,0.7520976,0.7666745,0.2403195,PCSK5,Proteolysis (GO:0006508)
160,GO:0050821,protein stabilization,GO:0050821,0.7737963,0.7189001,0.2038695,PER3,Protein Stabilization (GO:0050821)
161,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",GO:0000377,0.7770544,0.7100402,0.1973975,DHX35,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)"
