Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
Q13336	SLC14A1	8.34491171934335	6.72052231521649e-24	No	No
Q13435	SF3B2	3.52335249108679	1.49557137118333e-20	No	No
Q13442	PDAP1	2.68407918020964	6.81692510764496e-16	No	No
Q13443	ADAM9	2.66168357299348	5.89662593948918e-24	No	No
Q13444	ADAM15	2.72180037450788	2.5566316771488297e-18	No	No
Q13449	LSAMP	3.1137217020396	1.9898801978783998e-12	No	No
Q13478	IL18R1	6.44250181764494	1.43881877392114e-14	No	No
Q13571	LAPTM5	9.01849903320171	1.23942750409289e-35	No	No
Q13670	PMS2P11	9.28869648455236	1.01729668334443e-26	No	No
Q13794	PMAIP1	4.00614509278009	8.51754055564176e-17	No	No
Q13829	TNFAIP1	3.85631518582448	4.603164191946e-23	No	No
Q13835	PKP1	4.05458603614313	3.3436515463337e-05	No	No
Q13938	CAPS	5.69112767860065	1.4431949559708202e-20	No	No
Q14011	CIRBP	5.21254001461243	6.31683744227349e-27	No	No
