Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
O95071	UBR5	-3.68973195811207	0.0001391284086225	No	No
O95140	MFN2	-3.13830645904084	0.0003463397941755	No	No
O95185	UNC5C	-5.99000131913575	4.0819264634767804e-17	No	No
O95196	CSPG5	-3.50525219050844	7.007148495021371e-09	No	No
O95199	RCBTB2	-3.79006192338616	5.54030285187336e-08	No	No
O95202	LETM1	-3.53031256143485	7.84892196125e-07	No	No
O95251	KAT7	-2.69254491913111	3.86304771037509e-10	No	No
O95259	KCNH1	-4.39381078879062	4.415046854192731e-15	No	No
O95295	SNAPIN	-2.6633413726647	1.42516051677799e-06	No	No
O95363	FARS2	-4.93964550741201	3.38685246533636e-05	No	No
O95390	GDF11	-4.96190075692199	9.56546394188589e-09	No	No
O95415	BRI3	-2.65347720564705	2.58579067209622e-10	No	No
O95450	ADAMTS2	-5.35261201949199	3.49360034598953e-16	No	No
O95461	LARGE1	-3.29456652452597	4.96689073376809e-05	No	No
O95470	SGPL1	-4.69110557816394	1.68725837340555e-08	No	No
O95475	SIX6	-3.38062906186795	0.0001925018771604	No	No
O95477	ABCA1	-7.49857643621044	6.54787286876001e-27	No	No
O95484	CLDN9	-11.5927313075567	9.451365084037989e-34	No	No
O95502	NPTXR	-6.305357872997	8.758438149954349e-12	No	No
O95528	SLC2A10	-8.59822933259887	2.17405678078506e-23	No	No
O95563	MPC2	-3.96554945341009	2.39640441560435e-18	No	No
O95602	POLR1A	-2.6741493468981	7.42446388633661e-06	No	No
O95622	ADCY5	-4.30033145997798	4.45001838965545e-16	No	No
O95639	CPSF4	-3.99049747553438	0.0003992299913218	No	No
O95670	ATP6V1G2	-5.02356957066789	7.658812274875291e-09	No	No
O95671	ASMTL	-3.39412651950974	3.70028631933815e-10	No	No
O95674	CDS2	-4.11224642407297	7.70996864869801e-08	No	No
O95772	STARD3NL	-3.11240943702607	3.16756072771885e-14	No	No
O95785	WIZ	-4.81708840497047	1.05003225013207e-05	No	No
O95786	RIGI	-2.6565795065457	3.49910265623838e-14	No	No
O95810	CAVIN2	-3.91739057506831	1.08075350814143e-07	No	No
O95822	MLYCD	-3.45081493434652	1.79707945071718e-07	No	No
O95831	AIFM1	-5.36902666225628	2.48378070797253e-14	No	No
O95848	NUDT14	-4.51464064730448	4.8831997349942304e-09	No	No
O95881	TXNDC12	-3.03779155197164	2.35368250072341e-05	No	No
O95967	EFEMP2	-4.98425513391816	7.12989885618346e-12	No	No
O95983	MBD3	-3.29279616283147	8.67822214432192e-05	No	No
O95994	AGR2	-3.03222123637356	1.06444501369064e-08	No	No
O96005	CLPTM1	-2.88494693166231	1.07801945271513e-08	No	No
O96011	PEX11B	-5.54569191267165	4.54370931020868e-19	No	No
O96014	WNT11	-2.6418630286846	8.94413227538005e-12	No	No
O96017	CHEK2	-4.16209058859551	6.948248849944729e-11	No	No
P00367	GLUD1	-5.49743347921248	5.4123032990279e-13	No	No
P00750	PLAT	-4.59145324984771	4.7364440762077804e-14	No	No
P00846	MT-ATP6	-3.39914134874271	2.8576982906829797e-12	No	No
P00966	ASS1	-4.60757882768805	4.871078349669509e-11	No	No
P00973	OAS1	-8.12091231730443	6.48096797981405e-13	No	No
P01023	A2M	-9.10833907204144	1.71272841152356e-19	No	No
P01236	PRL	-4.49818612434087	2.7360500066409297e-22	No	No
P02452	COL1A1	-5.57091595121342	6.05803551655798e-16	No	No
P02654	APOC1	-13.4783821098672	9.66297467868195e-28	No	No
P02686	MBP	-4.85077952167093	2.13681230032098e-14	No	No
P03950	ANG	-6.08856941985604	3.2014380577039e-21	No	No
P04062	GBA1	-4.03289465959676	4.55029329700788e-13	No	No
P04179	SOD2	-3.10771925656633	2.13307703845271e-12	No	No
P04216	THY1	-8.73318164368043	3.99595370821508e-23	No	No
P04271	S100B	-6.43038811894894	1.48920872583978e-22	No	No
P04637	TP53	-9.30523871443431	2.01743303104946e-26	No	No
P05121	SERPINE1	-2.8277040636271	0.0001650728491565	No	No
P05165	PCCA	-5.95709121042301	3.39151893973442e-16	No	No
P05362	ICAM1	-3.3861932717769	1.85672728982281e-16	No	No
P05408	SCG5	-9.66475029069316	4.12428064256391e-27	No	No
P05413	FABP3	-3.1550760166204	4.40521594433004e-10	No	No
P05771	PRKCB	-6.75199438150309	3.66669430937345e-33	No	No
P06280	GLA	-3.31022662801124	3.3982725269804603e-09	No	No
P06576	ATP5F1B	-3.12700960915641	3.44559110681399e-12	No	No
P06858	LPL	-5.01212116334491	2.5540998098036504e-15	No	No
P06865	HEXA	-2.78601482971054	2.6963761073811602e-09	No	No
P07099	EPHX1	-4.57131901294202	1.68418087707021e-21	No	No
P07203	GPX1	-4.02431260803544	1.50892500888208e-17	No	No
P07204	THBD	-8.42715483795605	3.40392878466331e-26	No	No
P07237	P4HB	-3.4203767138165	4.1220736383080406e-15	No	No
P07339	CTSD	-3.19345893097858	1.40311294229817e-10	No	No
P07585	DCN	-2.64563351869227	1.18928165551209e-12	No	No
P07711	CTSL	-2.576017402824	3.24387909248303e-06	No	No
P07996	THBS1	-2.73011243999502	5.61929490602872e-10	No	No
P08123	COL1A2	-5.0979072573904	3.5649441645804e-13	No	No
P08133	ANXA6	-2.70132999505284	4.9258360411401804e-20	No	No
P08240	SRPRA	-2.92278955083455	1.05600067261905e-13	No	No
P08574	CYC1	-2.69835351781585	6.34873013038954e-10	No	No
P08603	CFH	-5.14955919458524	3.39825477681724e-16	No	No
P08670	VIM	-2.79169055530045	3.86344134649472e-16	No	No
P09038	FGF2	-2.72600986206792	2.8720555427757697e-12	No	No
P09488	GSTM1	-9.26146797806332	7.53913598750013e-32	No	No
P09619	PDGFRB	-4.24131948490296	1.1267488222109399e-18	No	No
P09758	TACSTD2	-9.26562943744814	5.424977906381681e-25	No	No
P09884	POLA1	-3.39539800651809	7.27722311169194e-06	No	No
P09914	IFIT1	-2.60743084745309	1.34360492137248e-08	No	No
P09936	UCHL1	-13.5666786144651	4.6440288929865504e-24	No	No
P0C7U0	ELFN1	-3.53626181630252	3.47622508580345e-06	No	No
P0C870	JMJD7	-3.47170385622973	0.0007894969033725	No	No
P0DJD0;P0DJD1	RGPD1;RGPD2	-3.93215982654693	5.92648203171181e-08	No	No
P0DKX4	SMIM18	-4.93658663515007	2.33621108084579e-20	No	No
P0DP58	LYNX1	-4.46937550058012	5.6447517130816396e-18	No	No
P0DPD8	EEF1AKMT4-ECE2	-8.31717371284127	1.85674542452353e-23	No	No
P0DPI2	GATD3	-3.7006657950726	7.16844766701427e-10	No	No
P10109	FDX1	-4.770232068306	1.23713827589773e-18	No	No
P10124	SRGN	-3.33053705848316	4.8113535604728504e-09	No	No
P10253	GAA	-5.80317104109019	7.92954455154313e-13	No	No
P10721	KIT	-8.56669274196026	1.7357603499155402e-14	No	No
P10809	HSPD1	-3.06745071803951	1.80407101233219e-14	No	No
P11021	HSPA5	-3.148877771412	3.97216931152507e-16	No	No
P11217	PYGM	-4.40276387374984	1.42620854047264e-18	No	No
P11277	SPTB	-4.16664288476465	2.2666789812586e-09	No	No
P11310	ACADM	-2.84170921985979	9.140390129035301e-10	No	No
P11362	FGFR1	-2.98944924477155	2.04480060424443e-15	No	No
P11498	PC	-3.39694218988834	0.0003526446586669	No	No
P11801	PSKH1	-3.41673867922272	7.23389273977753e-05	No	No
P12036	NEFH	-2.80336541522743	7.37689156366867e-12	No	No
P12107	COL11A1	-7.32707420121898	8.22009700812272e-20	No	No
P12235	SLC25A4	-4.17509664854106	2.38162729010287e-23	No	No
P12270	TPR	-4.59450198857767	1.2618759427732e-08	No	No
P12821	ACE	-5.14152503415315	0.0001476517613094	No	No
P12830	CDH1	-6.19134320880776	2.46137103677751e-17	No	No
P13051	UNG	-6.07432280782007	8.74770245996924e-07	No	No
P13284	IFI30	-3.62956354324173	1.3320353644418899e-11	No	No
P13497	BMP1	-3.24500307692474	3.67359994575825e-07	No	No
P13498	CYBA	-3.23890268356211	0.0002548246691714	No	No
P13667	PDIA4	-2.71579206031732	1.7279630843968998e-13	No	No
P13686	ACP5	-5.39044504948291	2.05849842035135e-13	No	No
P13688	CEACAM1	-10.4465112410082	4.0877010242033697e-26	No	No
P13804	ETFA	-5.84591647252291	1.10730576600329e-19	No	No
P13995	MTHFD2	-3.67915605655256	0.0001554653347048	No	No
P14384	CPM	-5.00799379397865	3.13874340641794e-12	No	No
P14679	TYR	-12.4780276741398	1.44979313694232e-29	No	No
P15260	IFNGR1	-3.23939006608056	1.99981179554123e-22	No	No
P15289	ARSA	-6.37270482755202	3.98174158838272e-15	No	No
P16112	ACAN	-5.22614246730347	1.3313526541771e-16	No	No
P16219	ACADS	-7.03457293065019	4.97857512655267e-10	No	No
P16234	PDGFRA	-5.49818895277349	2.1169319106793504e-15	No	No
P16278	GLB1	-2.61308990402412	2.10210632677111e-10	No	No
P16435	POR	-5.36601840250036	1.29345306145705e-17	No	No
P16519	PCSK2	-9.57178013713708	2.4015429330837802e-31	No	No
P16615	ATP2A2	-3.49055445611629	3.94029276659481e-15	No	No
P17028	ZNF24	-6.99600602876642	4.3833544582167696e-18	No	No
P17050	NAGA	-3.49552698653453	3.09165249280539e-06	No	No
P17643	TYRP1	-11.3962078129487	1.81560515426186e-16	No	No
P17661	DES	-3.06858256643456	4.65152760649264e-14	No	No
P17706	PTPN2	-3.64811363428397	9.54245476805399e-13	No	No
P17931	LGALS3	-5.78423622815238	1.32663228132449e-23	No	No
P18583	SON	-3.61179494275065	1.732328921639e-07	No	No
P18859	ATP5PF	-6.80323343323397	8.288386271984e-12	No	No
P19021	PAM	-3.02502747300887	3.81914877837125e-10	No	No
P19367	HK1	-4.46578748349259	7.90093429509699e-19	No	No
P19404	NDUFV2	-2.80791264401285	3.10382480437173e-07	No	No
P19634	SLC9A1	-2.96319309453349	1.16559004267302e-17	No	No
P19823	ITIH2	-2.66534535124141	2.16848587866572e-06	No	No
P19971	TYMP	-2.64206317107766	6.77246107293317e-05	No	No
P20333	TNFRSF1B	-3.20846236566823	3.63905588489437e-08	No	No
P20337	RAB3B	-6.09902104944276	3.40979452764307e-18	No	No
P20366	TAC1	-3.10093874224888	1.1554994101935e-06	No	No
P20585	MSH3	-4.00188924593834	3.4482090163278594e-11	No	No
P20591	MX1	-9.74994634756411	1.8063584313110502e-23	No	No
P20592	MX2	-4.90943974323855	1.2186474228860899e-18	No	No
P20674	COX5A	-2.93129247812757	7.27289377853123e-05	No	No
P20810	CAST	-3.05638161713762	6.66310012212949e-12	No	No
P21127	CDK11B	-3.36056379487987	8.24326268026687e-07	No	No
P21266	GSTM3	-3.83835437887189	1.04233893252142e-23	No	No
P21554	CNR1	-7.04863456002539	6.52392215033218e-08	No	No
P21580	TNFAIP3	-2.84227704746126	7.59808529849381e-12	No	No
P21810	BGN	-7.46223225297363	7.361577712616441e-25	No	No
P21860	ERBB3	-7.12696962290265	3.79903781697439e-24	No	No
P21912	SDHB	-5.52326789056976	8.95017027211928e-16	No	No
P21964	COMT	-2.72224845463779	5.78596182170474e-07	No	No
P22033	MMUT	-10.7293000659218	5.90989018492001e-17	No	No
P22223	CDH3	-6.40480285832332	6.50959542845111e-12	No	No
P22570	FDXR	-4.42574998980314	5.686185863674621e-10	No	No
P22670	RFX1	-4.82690250485375	4.77114907714539e-10	No	No
P22692	IGFBP4	-4.2964230294046	9.25905517833276e-13	No	No
P22695	UQCRC2	-4.20890785708706	1.6384208721479598e-11	No	No
P22830	FECH	-7.96708375909457	5.45270210846446e-12	No	No
P23141	CES1	-2.87166568316194	7.7530825455183e-07	No	No
P23368	ME2	-5.68074059316241	8.040191954875981e-19	No	No
P23378	GLDC	-2.88868123312353	2.02432665347208e-05	No	No
P23381	WARS1	-3.21738892135906	4.59970901184522e-28	No	No
P23471	PTPRZ1	-4.26820684538424	2.49852878022732e-10	No	No
P23786	CPT2	-3.51497917617336	2.24760962213838e-07	No	No
P24394	IL4R	-2.81805272950533	3.64671364119906e-05	No	No
P24530	EDNRB	-5.13983577775324	1.35484638324287e-27	No	No
P24539	ATP5PB	-4.02430950367564	1.40404521144613e-08	No	No
P24593	IGFBP5	-6.14572156453605	2.1161275271836303e-25	No	No
P24723	PRKCH	-5.79342587223449	1.45850920998396e-10	No	No
P24752	ACAT1	-3.66301932474551	1.79395951988782e-10	No	No
P25021	HRH2	-5.14051135680011	1.4588886098144601e-21	No	No
P25189	MPZ	-10.418433193847	6.937468144390371e-21	No	No
P25391	LAMA1	-7.74239630795759	1.63192460598369e-17	No	No
P25490	YY1	-2.78977212815397	4.93989430302626e-08	No	No
P25705	ATP5F1A	-2.80466808642576	6.337122182333979e-11	No	No
P25942	CD40	-5.58806522385613	4.98745682037349e-18	No	No
P26022	PTX3	-5.59319278916242	6.17866469381651e-10	No	No
P26045	PTPN3	-5.57170923760599	6.38355093332591e-27	No	No
P26378	ELAVL4	-3.3129948658489	1.9181224060381197e-11	No	No
P26440	IVD	-3.259985506467	2.16521809745313e-08	No	No
P26447	S100A4	-3.95555830284647	3.0240493921538595e-11	No	No
P26572	MGAT1	-3.55894889196284	1.36129352049002e-13	No	No
P27449	ATP6V0C	-2.88169387306779	3.2336925737902205e-09	No	No
P27487	DPP4	-6.75782529361877	1.90044203649595e-21	No	No
P27540	ARNT	-3.54334977434801	0.0001851304848516	No	No
P27544	CERS1	-4.04182951098003	1.8544091192486003e-21	No	No
P27658	COL8A1	-3.30641672933419	1.77823369075697e-08	No	No
P27816	MAP4	-3.08669356410191	4.8275497603996805e-15	No	No
P27824	CANX	-3.90860249174882	5.45975782156706e-17	No	No
P27987	ITPKB	-4.70358355840889	3.27745271632654e-17	No	No
P28161	GSTM2	-5.42473749262656	3.1195787001751303e-19	No	No
P28290	ITPRID2	-5.44352785500422	9.53054614781619e-07	No	No
P28300	LOX	-10.5581367207859	1.8072628828503398e-26	No	No
P28330	ACADL	-4.4629521752381	8.072241261566e-08	No	No
P28331	NDUFS1	-3.5719279540495	3.2999661476729797e-12	No	No
P28370	SMARCA1	-2.98849750616989	2.39442233043341e-11	No	No
P28472	GABRB3	-4.07787985694829	1.29849921025382e-07	No	No
P28799	GRN	-4.07950227417825	2.77856033129466e-10	No	No
P28838	LAP3	-2.73249927271631	2.91108217522397e-22	No	No
P29120	PCSK1	-4.23001494769826	4.67969228380014e-23	No	No
P29466	CASP1	-4.82445937940766	2.77702944316928e-21	No	No
P29536	LMOD1	-7.03169748492275	4.3890177665559e-27	No	No
P29728	OAS2	-9.21604867523845	1.4048343722702501e-14	No	No
P30038	ALDH4A1	-3.70206266190971	1.3290244550318201e-09	No	No
P30040	ERP29	-2.67758000855267	4.99150633093293e-15	No	No
P30101	PDIA3	-2.60744638650617	2.1391650784141798e-16	No	No
P30291	WEE1	-3.18015803374569	0.0093135878247226	No	No
P30405	PPIF	-3.39147281100327	4.67572917802391e-12	No	No
P30414	NKTR	-3.92334488982417	3.52843094773508e-06	No	No
P30519	HMOX2	-3.8018074048993	2.8219300220202202e-14	No	No
P30533	LRPAP1	-4.0423066035467	6.5356172870654704e-09	No	No
P30559	OXTR	-6.26631596558492	2.42670334250848e-18	No	No
P30837	ALDH1B1	-4.19459300610993	4.17288466836374e-07	No	No
P31040	SDHA	-5.20865507495383	1.53036800434857e-08	No	No
P31930	UQCRC1	-4.54085715794849	1.2180664774301599e-13	No	No
P31937	HIBADH	-2.81928549246202	7.340258963668009e-11	No	No
P32456	GBP2	-2.78099976133772	3.42198900931302e-05	No	No
P32780	GTF2H1	-4.08239017231228	4.47382296290608e-08	No	No
P32929	CTH	-2.60079245982276	5.57905342689669e-17	No	No
P33121	ACSL1	-4.29948977737805	6.359255690878351e-17	No	No
P33764	S100A3	-6.40415881167981	1.61106813079738e-18	No	No
P33897	ABCD1	-2.93944610164476	3.57084021778323e-06	No	No
P34059	GALNS	-4.13902910164743	1.83907108929485e-11	No	No
P34096	RNASE4	-4.29821941591294	2.9315970097513197e-12	No	No
P34897	SHMT2	-2.99160492623196	1.90471082215386e-08	No	No
P34998;Q13324	CRHR1;CRHR2	-3.14975683771726	8.8706967943515e-12	No	No
P35219	CA8	-5.12027723543534	5.89241145148897e-16	No	No
P35251	RFC1	-4.65194634436954	6.14538361113531e-05	No	No
P35269	GTF2F1	-2.57956746325975	0.001472739924174	No	No
P35475	IDUA	-3.48886384020513	1.13823548396224e-12	No	No
P35520	CBS	-3.44715725583382	3.65671672567566e-16	No	No
P35555	FBN1	-10.1111709062237	1.97143574838035e-26	No	No
P35556	FBN2	-3.32148337212853	7.85315548826328e-16	No	No
P35914	HMGCL	-8.52098176999872	1.51296436207824e-26	No	No
P36269	GGT5	-3.10144880281332	1.79062235137265e-06	No	No
P36542	ATP5F1C	-5.75704733201801	2.69915692428763e-06	No	No
P36551	CPOX	-3.96516983637692	1.1832614054824902e-15	No	No
P36776	LONP1	-6.35762985098282	8.352456759626341e-19	No	No
P36952	SERPINB5	-3.32673910527516	8.84436427324442e-05	No	No
P36956	SREBF1	-3.0836561952299	0.0001743729007861	No	No
P36959	GMPR	-4.41465176141119	9.0864935534147e-24	No	No
P38117	ETFB	-4.39464507871886	6.14011866892267e-22	No	No
P38571	LIPA	-3.92591746324689	1.52966723469596e-14	No	No
P38646	HSPA9	-3.41249921111184	6.1013302306357e-17	No	No
P39059	COL15A1	-6.65411117867791	7.7382467952832e-09	No	No
P39656	DDOST	-4.19778784711494	8.36016473252854e-14	No	No
P39880	CUX1	-3.25966594812249	1.03468616281635e-05	No	No
P40121	CAPG	-7.15071390011177	2.03910848502232e-12	No	No
P40126	DCT	-6.13346790584995	1.57851704781943e-15	No	No
P40926	MDH2	-3.36153548710409	6.95439670258025e-10	No	No
P40939	HADHA	-5.61112682184394	1.76025991880898e-18	No	No
P40967	PMEL	-10.1120479244565	1.05457957362851e-17	No	No
P41226	UBA7	-3.69163439178113	1.57440668129768e-16	No	No
P41595	HTR2B	-8.8044451767512	4.17989472607411e-27	No	No
P42224	STAT1	-2.58015521282647	8.978402518211601e-21	No	No
P42696	RBM34	-3.52655997558751	6.57315790506561e-08	No	No
P42704	LRPPRC	-3.46852789711891	2.06047114076597e-10	No	No
P42765	ACAA2	-5.42978797013358	2.6217032590113896e-11	No	No
P42785	PRCP	-2.73024177236875	1.90890803499244e-08	No	No
P42857	NSG1	-12.7758881357008	1.7724464100489898e-40	No	No
P42858	HTT	-2.76541844493323	1.41539366061859e-13	No	No
P43005	SLC1A1	-6.06960969835287	1.39279762274103e-23	No	No
P43007	SLC1A4	-5.12022884194661	3.82684095756341e-31	No	No
P43155	CRAT	-11.4287448811752	9.42466957245081e-24	No	No
P43234	CTSO	-4.17928514844698	5.77080732556901e-13	No	No
P43235	CTSK	-5.27935031525547	3.56595551037858e-12	No	No
P43243	MATR3	-2.7719473934385	2.67586256602321e-09	No	No
P43246	MSH2	-3.46678854295248	1.15807074171886e-12	No	No
P43304	GPD2	-4.28326301289407	2.26145103441478e-17	No	No
P43657	LPAR6	-5.22585199476488	6.75534900115662e-19	No	No
P43897	TSFM	-2.92676294905159	2.06473768384982e-05	No	No
P45381	ASPA	-9.3439275330097	3.08381365489956e-28	No	No
P45954	ACADSB	-7.3470741431408	3.6373969632540297e-12	No	No
P46100	ATRX	-5.40461122040678	8.4992903398985e-09	No	No
P46977	STT3A	-4.93535179697288	1.38990049810121e-08	No	No
P47712	PLA2G4A	-2.70362073659859	1.2221334615654499e-18	No	No
P47736	RAP1GAP	-3.1450058590336	5.34599541111801e-05	No	No
P47972	NPTX2	-6.68166505478642	1.74827358562176e-10	No	No
P48047	ATP5PO	-3.43961053495794	9.490357264362129e-12	No	No
P48051	KCNJ6	-2.76024510874098	2.5498300142727904e-15	No	No
P48163	ME1	-3.21586473106171	4.77965996024669e-17	No	No
P48382	RFX5	-3.48371529634301	0.0008833312255742	No	No
P48449	LSS	-3.1694445056042	8.50768991928454e-21	No	No
P48549	KCNJ3	-2.98245360659024	0.000207084270433	No	No
P48735	IDH2	-4.73690584113844	8.14288882854324e-13	No	No
P48745	CCN3	-8.30972311559983	7.11339115234748e-11	No	No
P49069	CAMLG	-8.17554243453963	2.82390193252544e-20	No	No
P49257	LMAN1	-3.57431561534742	1.6675878725949e-17	No	No
P49406	MRPL19	-3.99414811849093	2.72430516237957e-07	No	No
P49407	ARRB1	-2.5835515228127	3.7844916986375005e-15	No	No
P49454	CENPF	-4.99529496576405	6.420470424474061e-09	No	No
P49641	MAN2A2	-2.81962083595416	7.13249316888343e-06	No	No
P49746	THBS3	-3.91862125827724	6.2838293614709e-08	No	No
P49756	RBM25	-2.65539056210484	1.25666902533569e-07	No	No
P49767	VEGFC	-5.71253134263779	4.43519987471052e-19	No	No
P49788	RARRES1	-6.45210457323914	4.12918445815616e-25	No	No
P49790	NUP153	-4.59910248347751	2.75682251504701e-07	No	No
P49792	RANBP2	-3.86569843173289	1.51102850052876e-11	No	No
P49821	NDUFV1	-5.90378791751299	7.67975362564128e-12	No	No
P49916	LIG3	-3.39861458592487	7.34951286361078e-07	No	No
P50213	IDH3A	-4.77086659895487	1.14757177716606e-15	No	No
P50402	EMD	-2.61022701572969	0.0002871766022777	No	No
P50607	TUB	-4.25743298818404	1.13942881994519e-15	No	No
P50851	LRBA	-3.31458031579941	1.68147835677026e-16	No	No
P51178	PLCD1	-2.76829374131128	4.76083010610328e-14	No	No
P51531	SMARCA2	-2.83988571915861	5.405044844083551e-09	No	No
P51606	RENBP	-3.77872628079942	2.02580113244352e-13	No	No
P51608	MECP2	-4.11979011159508	3.14819352111746e-05	No	No
P51610	HCFC1	-3.28093060455749	1.90125151659335e-16	No	No
P51648	ALDH3A2	-2.86789075729477	6.128964445196889e-11	No	No
P51649	ALDH5A1	-11.6238222390816	2.57053101386103e-31	No	No
P51687	SUOX	-6.39675979782636	1.1389799469882801e-14	No	No
P51693	APLP1	-5.18317449482855	1.5289429717302398e-18	No	No
P51798	CLCN7	-4.15252381719714	1.7321543275625902e-15	No	No
P51810	GPR143	-9.08694935152916	1.13670863033431e-21	No	No
P51888	PRELP	-8.99112911918612	2.7839702799261304e-15	No	No
P51956	NEK3	-5.99944151969546	1.42359172179116e-10	No	No
P52272	HNRNPM	-2.67473165199342	1.30580702739107e-12	No	No
P52429	DGKE	-4.16378074287628	1.15376453536475e-06	No	No
P52815	MRPL12	-2.90253320175553	4.52067220953354e-07	No	No
P52824	DGKQ	-3.09389390015103	1.63990545713716e-07	No	No
P53007	SLC25A1	-3.2132577366687	1.92084356557421e-07	No	No
P53355	DAPK1	-4.25726461324683	5.8427679671305e-14	No	No
P53597	SUCLG1	-2.70246356928902	1.64158717256738e-08	No	No
P53779	MAPK10	-8.05803475108338	2.00231787679213e-21	No	No
P54098	POLG	-6.34416627624555	6.23237551460991e-07	No	No
P54198	HIRA	-2.90395793502442	7.21856574267636e-05	No	No
P54802	NAGLU	-7.05016960863223	9.37650033344581e-16	No	No
P54803	GALC	-10.106565435748	1.52229788716268e-24	No	No
P54819	AK2	-3.99103256175757	3.26971178184862e-13	No	No
P54886	ALDH18A1	-5.86474609984701	2.46832325784202e-16	No	No
P55001	MFAP2	-3.40728651476661	1.16123409696949e-16	No	No
P55061	TMBIM6	-3.45766649066712	9.36000718622039e-10	No	No
P55084	HADHB	-4.586556432844	1.96025456334746e-11	No	No
P55268	LAMB2	-4.76260443769095	2.31481521377525e-08	No	No
P55291	CDH15	-3.49634863342212	3.41741783800473e-07	No	No
P55774	CCL18	-2.89991353739504	6.51606141436767e-16	No	No
P55786	NPEPPS	-2.60338667325458	6.2520975440036794e-18	No	No
P55809	OXCT1	-7.55601353816099	6.765879870424921e-20	No	No
P55899	FCGRT	-7.11484521348508	1.32911699287371e-26	No	No
P56277	CMC4	-7.57587424782966	1.55076313669957e-10	No	No
P56385	ATP5ME	-4.50839129603462	1.22046473063962e-12	No	No
P56556	NDUFA6	-2.66731434845748	4.75564470013121e-13	No	No
P56730	PRSS12	-3.66188815233737	0.0025474071602762	No	No
P56937	HSD17B7	-2.57960939908856	7.553368387031361e-09	No	No
P56962	STX17	-2.99091201841731	4.59792019962024e-08	No	No
P56975	NRG3	-6.88207324500661	1.26846216625703e-25	No	No
P57768	SNX16	-4.61271838275087	5.2869778901792205e-09	No	No
P58004	SESN2	-2.9288099177997	0.0096790282250352	No	No
P58166	INHBE	-5.64150902561477	9.13003247162525e-22	No	No
P58397	ADAMTS12	-10.2309308916001	1.69318446998102e-20	No	No
P60484	PTEN	-4.81452289192975	1.79571227809821e-11	No	No
P61916	NPC2	-2.86202634923909	2.77670703485903e-10	No	No
P63302	SELENOW	-4.59448953316703	9.45095089281976e-28	No	No
P78316	NOP14	-7.36048104955417	0.0012477631828555	No	No
P78347	GTF2I	-3.85217184839222	5.34249355689359e-13	No	No
P78357	CNTNAP1	-4.31367172220648	1.14226979625461e-07	No	No
P78539	SRPX	-3.17818542198111	8.05428838861432e-09	No	No
P78559	MAP1A	-9.63129157440859	1.50551546198907e-20	No	No
P80303	NUCB2	-4.5945540227326	1.500440448259e-20	No	No
P80404	ABAT	-12.647253295981	2.0780958187432197e-30	No	No
P82094	TMF1	-3.78205303222941	0.0001726607494984	No	No
P82673	MRPS35	-6.14235828352188	3.11049977078223e-16	No	No
P82912	MRPS11	-4.28819827327111	2.37048446285413e-07	No	No
P83110	HTRA3	-4.4982678946787	3.50888275936774e-12	No	No
P83111	LACTB	-4.24861892493419	6.0469359639488e-11	No	No
P85037	FOXK1	-2.94123892383909	5.80940474648768e-09	No	No
P85299	PRR5	-9.07337637626189	1.7709311797796001e-15	No	No
P98066	TNFAIP6	-5.76341486153453	1.0044102774429e-09	No	No
P98095	FBLN2	-3.2568053272927	2.57237183820734e-08	No	No
P99999	CYCS	-2.92649932822508	4.1060076282329e-14	No	No
Q00722	PLCB2	-3.55730024733758	0.0014579679157627	No	No
Q00839	HNRNPU	-2.92952651968542	1.49723953629309e-13	No	No
Q00978	IRF9	-3.86885861592402	2.01552460723015e-12	No	No
Q01082	SPTBN1	-4.65946842251631	6.49925801019223e-24	No	No
Q01167	FOXK2	-4.11426099954138	1.50731590464924e-08	No	No
Q01432	AMPD3	-5.886152453656	2.24240476690648e-06	No	No
Q01484	ANK2	-2.74810447003266	1.21682415883405e-14	No	No
Q01726	MC1R	-6.82947778096664	4.23067058770999e-25	No	No
Q01780	EXOSC10	-2.62166013213829	1.73547751629653e-11	No	No
Q02218	OGDH	-5.72429217102792	4.71067255087219e-13	No	No
Q02252	ALDH6A1	-9.66714714907763	5.92565177587631e-21	No	No
Q02318	CYP27A1	-5.56102742369015	4.0452647795952195e-18	No	No
Q02338	BDH1	-2.67398850142762	3.1794616524371804e-09	No	No
Q02809	PLOD1	-3.30409387603927	6.111751418913e-11	No	No
Q02978	SLC25A11	-3.69469964762805	1.79406012002476e-14	No	No
Q03013	GSTM4	-3.81666561784874	1.44060450989466e-17	No	No
Q03111	MLLT1	-6.82601894024715	2.66622440981653e-08	No	No
Q03167	TGFBR3	-3.69659411146935	6.83369709555645e-11	No	No
Q03701	CEBPZ	-4.37360657780114	0.0017339240186406	No	No
Q04671	OCA2	-8.52584681869688	1.01663586025623e-24	No	No
Q04727	TLE4	-3.87804412087109	7.567892794909541e-15	No	No
Q04912	MST1R	-5.16925739959038	0.0033693542222562	No	No
Q05084	ICA1	-2.73558137056904	3.46592978941762e-08	No	No
Q05469	LIPE	-4.22656400580339	1.18741889658622e-13	No	No
Q05513	PRKCZ	-2.58861224410212	1.1030559429996099e-12	No	No
Q05707	COL14A1	-6.39435426344054	7.18577515507738e-22	No	No
Q05823	RNASEL	-4.30290162362792	2.3798760646894997e-12	No	No
Q06587	RING1	-3.12790572774791	1.69822994555255e-07	No	No
