Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
Q3B726	POLR1F	2.4254141493524	6.71508428464527e-07	No	No
Q460N5	PARP14	2.36854485356414	7.290413473917859e-12	No	No
Q494U1	PLEKHN1	2.52987844032566	8.86669608968277e-10	No	No
Q49B96	COX19	3.84779185162102	2.00767578685324e-05	No	No
Q4G176	ACSF3	4.05362035728687	9.38433270773133e-06	No	No
Q4V9L6	TMEM119	3.96329664498922	5.84810252199074e-16	No	No
Q4VC31	MIX23	2.93774591523962	1.4271759476447802e-09	No	No
Q52LW3	ARHGAP29	4.02850596009204	2.66036808071958e-12	No	No
Q53F19	NCBP3	2.16807973567248	0.0026752129991348	No	No
Q53G44	IFI44L	4.82980617215614	3.8522728405316104e-19	No	No
Q53RD9	FBLN7	4.03939059350708	1.1406264052326001e-10	No	No
Q5BJH7	YIF1B	2.62594157199951	0.0039758144055326	No	No
Q5C9Z4	NOM1	4.47930700098427	6.73500450633353e-05	No	No
Q5EBM0	CMPK2	2.11449866927965	1.70066759811014e-06	No	No
Q5EG05	CARD16	1.94760068977482	3.78175264765827e-14	No	No
Q5FYB0	ARSJ	6.05485680874312	1.9205874222166e-11	No	No
Q5H9L2	TCEAL5	1.85640111545277	1.01477891545647e-07	No	No
Q5H9U9	DDX60L	4.51227825950797	4.3570685727266e-06	No	No
Q5HYK3	COQ5	2.99580414628513	3.74597263379918e-05	No	No
Q5HYW2	NHSL2	1.93076836663729	0.0001242477505178	No	No
Q5JRA6	MIA3	3.27778401595636	0.0001961871990461	No	No
Q5JTH9	RRP12	2.73726106880796	0.0001609380556551	No	No
Q5JTJ3	COA6	3.08498964532583	1.8183885412872998e-12	No	No
Q5K651	SAMD9	2.16990575589082	2.18673346890174e-15	No	No
Q5SRI9	MANEA	3.50899872136002	3.9099307092229e-05	No	No
Q5T2T1	MPP7	1.94578050578141	5.85845430629841e-06	No	No
Q5T8D3	ACBD5	2.31171393061811	0.0006746697193713	No	No
