Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
Q6EKJ0	GTF2IRD2B	3.96585347369696	7.28970808099317e-06	No	No
Q6I9Y2	THOC7	2.36213472394661	0.0006562485421749	No	No
Q6IQ16	SPOPL	6.93051133682582	2.11658393763592e-14	No	No
Q6KCM7	SLC25A25	3.18580892021328	4.2275674306942e-05	No	No
Q6NW34	NEPRO	2.47220523514643	0.0001103907466088	No	No
Q6NZ67	MZT2B	3.61606828885229	7.11990599946433e-10	No	No
Q6P087	RPUSD3	3.49029350637618	4.32045636240162e-14	No	No
Q6P158	DHX57	2.86566915095296	2.35449069390612e-07	No	No
Q6P161	MRPL54	2.80253478122933	1.79800541284074e-06	No	No
Q6P582	MZT2A	3.98850572901774	9.187341645260001e-12	No	No
Q6PCB5	RSBN1L	3.07686278377415	6.60660519387517e-08	No	No
Q6PK04	CCDC137	4.28375184260059	3.05685462380009e-10	No	No
Q6RFH5	WDR74	2.78751316603395	3.65096076054247e-06	No	No
Q6T4R5	NHS	5.05687667428083	7.013313430220159e-11	No	No
Q6ULP2	AFTPH	2.27080583197517	0.000133048171558	No	No
Q6UVJ0	SASS6	4.31563915323542	1.93076593632279e-06	No	No
Q6UX04	CWC27	2.29731093743499	1.45154328823337e-05	No	No
Q6ZN55	ZNF574	3.26814433525215	0.0002632089201858	No	No
Q6ZSR9	gene	2.40790158857425	9.78433176601203e-06	No	No
Q71RG4	TMUB2	3.85955111937733	1.57945853018211e-07	No	No
Q71SY5	MED25	4.3045583449975	1.95818254991902e-06	No	No
Q76FK4	NOL8	2.81235088773651	0.0002764956617393	No	No
Q76M96	CCDC80	3.74763949033184	0.0001371275195595	No	No
Q7KZ85	SUPT6H	4.51732467614747	1.01360829730476e-09	No	No
Q7RTV0	PHF5A	4.94402076180796	5.14528919818533e-16	No	No
Q7Z2W9	MRPL21	4.47671130911677	3.40951440548963e-17	No	No
Q7Z417	NUFIP2	2.56322632406678	1.44405902638819e-07	No	No
Q7Z478	DHX29	2.26521612632653	0.0002222677319621	No	No
Q7Z5J4	RAI1	4.39749400173798	1.2202066732931e-05	No	No
Q7Z5K2	WAPL	2.25346274906506	0.0023290942184911	No	No
Q7Z6E9	RBBP6	2.81957893421383	0.0018905270252772	No	No
Q7Z6K5	ARPIN	2.6364330095725	6.35213037758941e-10	No	No
Q7Z7F7	MRPL55	3.66690602046994	2.64653245908717e-08	No	No
Q7Z7H8	MRPL10	2.57394225818034	1.3363586143188e-05	No	No
Q86TB9	PATL1	2.48814594302527	2.2216836800318e-05	No	No
Q86TS9	MRPL52	6.61734991689928	4.77765864006052e-17	No	No
Q86U38	NOP9	2.55218761221698	0.0001135916310115	No	No
Q86UE4	MTDH	2.66511010401825	8.61202803571812e-12	No	No
Q86UT8	CENATAC	7.52223480330985	3.516317101117e-15	No	No
Q86UW6	N4BP2	4.15223195175662	1.07461685157075e-06	No	No
Q86VZ6	JAZF1	7.94274076406841	4.78852064957557e-05	No	No
Q86WX3	RPS19BP1	2.56558286455308	7.206739660333111e-09	No	No
Q86X76	NIT1	7.36326498463353	7.44733211821851e-15	No	No
Q86XK2	FBXO11	2.70662368008466	1.67263250665663e-08	No	No
Q86XN8	MEX3D	2.1401931569203	0.0003385703621968	No	No
Q86YH2	ZNF280B	5.2510432371673	0.0001651832744721	No	No
Q86Z20	CCDC125	5.78520545271498	4.35508441549953e-18	No	No
Q8IV48	ERI1	2.45728632326903	3.42568002098692e-05	No	No
Q8IVL0	NAV3	3.43170244247665	9.62958465844159e-06	No	No
Q8IW35	CEP97	3.08904123483739	3.00602658832372e-11	No	No
Q8IWA0	WDR75	2.35638800463586	4.68252012925239e-06	No	No
Q8IWB9	TEX2	6.67596655367355	4.64292932545053e-10	No	No
Q8IWS0	PHF6	2.38338563626225	4.63403411188601e-05	No	No
Q8IWX8	CHERP	4.15244540384864	1.29694510471934e-15	No	No
Q8IWY9	CDAN1	6.59734336466525	3.40649553162708e-16	No	No
Q8IWZ3	ANKHD1	2.19968561102839	0.0086431716244635	No	No
Q8IWZ8	SUGP1	4.95490970700785	1.24167587235513e-10	No	No
Q8IX12	CCAR1	6.66021347103838	1.35218348354508e-23	No	No
Q8IXK0	PHC2	3.77007320116826	1.74255346243506e-14	No	No
Q8IXM3	MRPL41	4.3543401614879	1.4906792279254e-11	No	No
Q8IXQ6	PARP9	2.81624626938372	1.79967060204275e-07	No	No
Q8IXT5	RBM12B	2.07711145466452	0.0012730670713302	No	No
Q8IY37	DHX37	2.4292188328727	0.0001336316347135	No	No
